SAMPLE NUMBER:   2
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec
ECG UNITS:       uV
ECG RESOLUTION:  0.3051758 uV/unit

------------------------- Begin Data -------------------------
  I     	  II     	  RV     	  RV'		  AO     	  AO'		
 12.82   	220.95   	  6.04   	  61.04		 40.47   	 -20.35		
  3.66   	164.18   	  6.29   	  20.35		 40.39   	 -55.95		
 -5.80   	100.10   	  6.37   	  10.17		 40.16   	 -81.38		
-13.12   	 47.61   	  6.41   	  45.78		 39.84   	 -86.47		
-18.31   	 15.56   	  6.59   	  25.43		 39.49   	 -55.95		
-21.36   	  0.61   	  6.69   	 -55.95		 39.27   	 -81.38		
-23.80   	 -7.32   	  6.47   	 -25.43		 38.94   	 -45.78		
-25.33   	-14.34   	  6.37   	  20.35		 38.76   	 -61.04		
-25.94   	-19.53   	  6.45   	   0.00		 38.51   	 -96.64		
-25.63   	-20.14   	  6.45   	  -5.09		 38.13   	   0.00		
-24.72   	-16.48   	  6.43   	 -30.52		 38.13   	 -50.86		
-24.41   	-12.21   	  6.31   	  20.35		 37.92   	 -61.04		
-24.41   	-10.07   	  6.39   	  61.04		 37.68   	  15.26		
-24.11   	-10.99   	  6.63   	   0.00		 37.74   	 -30.52		
-23.50   	-12.21   	  6.63   	   0.00		 37.62   	 -30.52		
-22.28   	-12.21   	  6.63   	  76.30		 37.50   	 -20.35		
-21.36   	-10.68   	  6.94   	 111.90		 37.42   	 -61.04		
-21.06   	 -8.85   	  7.39   	  96.64		 37.17   	 -20.35		
-21.67   	 -7.02   	  7.77   	  25.43		 37.09   	 -30.52		
-22.89   	 -5.49   	  7.87   	  25.43		 36.97   	 -61.04		
-23.80   	 -4.58   	  7.98   	  81.38		 36.72   	 -45.78		
-24.72   	 -3.97   	  8.30   	  66.12		 36.54   	 -40.69		
-26.25   	 -1.83   	  8.57   	  15.26		 36.38   	 -40.69		
-33.26   	 14.34   	  8.63   	   0.00		 36.22   	 -15.26		
-54.63   	 74.16   	  8.63   	  35.61		 36.15   	 -20.35		
-94.30   	220.34   	  8.77   	  50.86		 36.07   	 -30.52		
-135.19   	482.18   	  8.97   	 -20.35		 35.95   	 -25.43		
-131.84   	803.53   	  8.89   	 -55.95		 35.85   	 -40.69		
-32.35   	1000.37   	  8.67   	  50.86		 35.69   	-122.07		
427.25   	272.52   	  8.87   	   0.00		 35.20   	 -45.78		
616.76   	-626.22   	  8.87   	 -15.26		 35.02   	 -25.43		
645.14   	-1494.14   	  8.81   	 -25.43		 34.91   	 -55.95		
495.30   	-1970.52(R)	  8.71(E)	  15.26		 34.69   	 -35.61		
241.70   	-1904.60   	  8.77   	  20.35		 34.55   	 -25.43		
 -5.80   	-1428.83   	  8.85   	 -20.35		 34.45   	 -25.43		
-169.37   	-840.15   	  8.77   	 -25.43		 34.34   	   0.00		
-237.73   	-406.80   	  8.67   	  35.61		 34.34   	 -20.35		
-249.33   	-240.78   	  8.81   	  25.43		 34.26   	 -15.26		
-251.16   	-289.31   	  8.91   	 -45.78		 34.20   	  -5.09		
-270.39   	-413.21   	  8.73   	 -30.52		 34.18   	 -35.61		
-306.09   	-491.03   	  8.61   	  25.43		 34.04   	 -40.69		
-338.75   	-476.07   	  8.71   	  40.69		 33.88   	 -40.69		
-344.54   	-386.05   	  8.87   	 -15.26		 33.71   	 -45.78		
-309.14   	-266.11   	  8.81   	 -35.61		 33.53   	 -40.69		
-235.60   	-155.94   	  8.67   	  45.78		 33.37   	 -50.86		
-146.48   	-70.50   	  8.85   	  91.56		 33.16   	 -50.86		
-72.33   	 -4.27   	  9.22   	  40.69		 32.96   	 -35.61		
-33.87   	 43.64   	  9.38   	   5.09		 32.82   	 -30.52		
-30.52   	 66.22   	  9.40   	  71.21		 32.70   	 -45.78		
-44.25   	 63.17   	  9.68   	 193.29		 32.51   	  -5.09		
-54.93   	 47.91   	 10.46   	 223.80		 32.49   	  30.52		
-53.41   	 37.54   	 11.35   	 152.59		 32.61   	  40.69		
-42.72   	 39.06   	 11.96   	 137.33		 32.78   	  50.86		
-32.35   	 47.61   	 12.51   	 279.75		 32.98   	  25.43		
-27.77   	 54.02   	 13.63   	 356.05		 33.08   	  10.17		
