SAMPLE NUMBER:   2
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec
ECG UNITS:       uV
ECG RESOLUTION:  0.3051758 uV/unit

------------------------- Begin Data -------------------------
  I     	  II     	  AO     	  AO'		  RV     	  RV'		
 -4.58   	-16.78   	 54.47   	 279.75		 33.51   	 228.89		
 -1.53   	-10.99   	 55.58   	 356.05		 34.43   	 223.80		
  0.92   	 -5.19   	 57.01   	 391.66		 35.32   	 213.63		
  2.14   	  0.61   	 58.58   	 401.83		 36.17   	 213.63		
  2.75   	  5.49   	 60.18   	 391.66		 37.03   	 203.46		
  3.66   	 10.07   	 61.75   	 361.14		 37.84   	 198.37		
  5.19   	 14.95   	 63.19   	 310.27		 38.64   	 193.29		
  7.02   	 20.14   	 64.44   	 244.15		 39.41   	 188.20		
  8.54   	 25.33   	 65.41   	 157.68		 40.16   	 178.03		
  9.77   	 30.82   	 66.04   	  96.64		 40.87   	 172.94		
 11.29   	 36.01   	 66.43   	  81.38		 41.57   	 167.85		
 13.12   	 40.89   	 66.75   	  50.86		 42.24   	 157.68		
 15.87   	 46.08   	 66.96   	   0.00		 42.87   	 157.68		
 19.23   	 51.27   	 66.96   	 -30.52		 43.50   	 147.51		
 22.58   	 57.07   	 66.84   	  -5.09		 44.09   	 142.42		
 25.63   	 63.48   	 66.82   	  30.52		 44.66   	 132.25		
 28.38   	 70.19   	 66.94   	  35.61		 45.19   	 127.16		
 30.82   	 76.90   	 67.08   	  20.35		 45.70   	 122.07		
 32.35   	 82.40   	 67.16   	  15.26		 46.18   	 116.99		
 33.87   	 87.28   	 67.22   	  35.61		 46.65   	 101.73		
 35.10   	 90.94   	 67.36   	  81.38		 47.06   	 101.73		
 37.23   	 94.60   	 67.69   	 106.82		 47.47   	  91.56		
 39.98   	 97.96   	 68.12   	  91.56		 47.83   	  81.38		
 42.72   	100.71   	 68.48   	  45.78		 48.16   	  81.38		
 45.78   	102.84   	 68.67   	  25.43		 48.48   	  71.21		
 48.83   	104.06   	 68.77   	  61.04		 48.77   	  61.04		
 51.57   	104.68   	 69.01   	  91.56		 49.01   	  55.95		
 54.93   	104.68   	 69.38   	  55.95		 49.24   	  50.86		
 57.98   	104.68   	 69.60   	   0.00		 49.44   	  45.78		
 59.51   	103.45   	 69.60   	 -10.17		 49.62   	  35.61		
 57.98   	100.71   	 69.56   	  10.17		 49.77   	  35.61		
 52.80   	 95.52   	 69.60   	  45.78		 49.91   	  20.35		
 44.25   	 88.20   	 69.79   	  45.78		 49.99   	  20.35		
 33.87   	 79.04   	 69.97   	  30.52		 50.07   	  15.26		
 23.19   	 68.66   	 70.09   	  10.17		 50.13   	   5.09		
 14.04   	 57.37   	 70.13   	  20.35		 50.15   	   5.09		
  6.41   	 44.86   	 70.21   	  40.69		 50.17   	  -5.09		
  0.00   	 31.13   	 70.38   	  45.78		 50.15   	 -15.26		
 -6.10   	 17.09   	 70.56   	  20.35		 50.09   	 -15.26		
-11.90   	  3.36   	 70.64   	 -15.26		 50.03   	 -25.43		
-17.40   	 -8.54   	 70.58   	 -25.43		 49.93   	 -35.61		
-21.36   	-17.70   	 70.48   	 -20.35		 49.79   	 -45.78		
-24.11   	-24.11   	 70.40   	 -35.61		 49.60   	 -55.95		
-25.63   	-28.38   	 70.25   	 -71.21		 49.38   	 -71.21		
-27.16   	-31.43   	 69.97   	-106.82		 49.09   	 -81.38		
-28.99   	-33.87   	 69.54   	-101.73		 48.77   	-101.73		
-31.13   	-36.01   	 69.14   	 -86.47		 48.36   	-111.90		
-32.96   	-37.54   	 68.79   	-116.99		 47.91   	-137.33		
-33.26   	-38.45   	 68.32   	-178.03		 47.37   	-152.59		
-32.65   	-38.15   	 67.61   	-213.63		 46.75   	-172.94		
-30.82   	-36.93   	 66.75   	-198.37		 46.06   	-188.20		
-29.30   	-35.10   	 65.96   	-198.37		 45.31   	-213.63		
-28.38   	-33.87   	 65.17   	-249.24		 44.46   	-228.89		
-27.47   	-33.26   	 64.17   	-330.62		 43.54   	-244.15		
-26.55   	-33.26   	 62.85   	-361.14		 42.56   	-264.50		
-24.72   	-33.26   	 61.40   	-295.01		 41.51   	-279.75		
-22.28   	-32.35   	 60.22   	-193.29		 40.39   	-295.01		
-20.14   	-31.13   	 59.45   	 -96.64		 39.21   	-310.27		
-18.92   	-29.91   	 59.06   	 -35.61		 37.97   	-315.36		
-18.62   	-29.30   	 58.92   	  35.61		 36.70   	-325.53		
-18.62   	-28.99   	 59.06   	  96.64		 35.40   	-330.62		
-18.62   	-28.08   	 59.45   	 116.99		 34.08   	-335.71		
-18.01   	-26.86   	 59.92   	  76.30		 32.74   	-340.79		
-17.70   	-25.63   	 60.22   	  35.61		 31.37   	-340.79		
-17.70   	-25.33   	 60.37   	   5.09		 30.01   	-340.79		
-17.70   	-25.94   	 60.39   	 -25.43		 28.65   	-335.71		
-17.40   	-27.16   	 60.28   	 -71.21		 27.30   	-335.71		
-16.48   	-28.38   	 60.00   	-122.07		 25.96   	-330.62		
-14.95   	-29.30   	 59.51   	-162.77		 24.64   	-320.45		
-13.73   	-30.21   	 58.86   	-157.68		 23.36   	-315.36		
-13.73   	-30.82   	 58.23   	-132.25		 22.10   	-305.19		
-14.65   	-31.74   	 57.70   	-132.25		 20.87   	-295.01		
-16.17   	-32.96   	 57.17   	-132.25		 19.69   	-279.75		
-18.31   	-34.48   	 56.64   	-116.99		 18.58   	-274.67		
-19.84   	-36.62   	 56.17   	 -76.30		 17.48   	-259.41		
-21.06   	-39.06   	 55.87   	 -35.61		 16.44   	-249.24		
-21.67   	-41.50   	 55.73   	  -5.09		 15.44   	-239.06		
-22.28   	-43.33   	 55.71   	   5.09		 14.49   	-218.72		
-22.89   	-44.25   	 55.73   	  10.17		 13.61   	-213.63		
-23.80   	-44.86   	 55.77   	  10.17		 12.76   	-193.29		
-24.41   	-44.86   	 55.81   	  15.26		 11.98   	-188.20		
-24.41   	-44.86   	 55.87   	  15.26		 11.23   	-167.85		
