SAMPLE NUMBER:   4
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec
ECG UNITS:       uV
ECG RESOLUTION:  0.3051758 uV/unit

------------------------- Begin Data -------------------------
  I     	  II     	  RV     	  RV'		  AO     	  AO'		
  6.10   	 51.88   	 32.47   	-137.33		 64.54   	  86.47		
  0.31   	 48.83   	 31.92   	-152.59		 64.88   	  81.38		
 -6.41   	 47.00   	 31.31   	 -91.56		 65.21   	  76.30		
-12.51   	 46.69   	 30.95   	 -50.86		 65.51   	  76.30		
-17.09   	 47.30   	 30.74   	  -5.09		 65.82   	  76.30		
-19.53   	 47.91   	 30.72   	  25.43		 66.12   	  76.30		
-20.14   	 47.61   	 30.82   	 -25.43		 66.43   	  66.12		
-19.23   	 46.08   	 30.72   	-106.82		 66.69   	  71.21		
-16.78   	 43.03   	 30.29   	-142.42		 66.98   	  61.04		
-12.82   	 38.45   	 29.73   	-193.29		 67.22   	  55.95		
 -6.41   	 32.65   	 28.95   	-244.15		 67.45   	  50.86		
  1.53   	 26.55   	 27.98   	-198.37		 67.65   	  40.69		
  9.46   	 19.84   	 27.18   	-172.94		 67.81   	  40.69		
 14.34   	 12.21   	 26.49   	-167.85		 67.98   	  30.52		
 14.34   	  4.27   	 25.82   	-157.68		 68.10   	  25.43		
 10.07   	 -4.27   	 25.19   	-188.20		 68.20   	  25.43		
  3.97   	-12.21   	 24.44   	-239.06		 68.30   	  20.35		
 -0.61   	-18.92   	 23.48   	-274.67		 68.38   	  10.17		
 -2.44   	-23.80   	 22.38   	-289.93		 68.42   	  10.17		
 -1.83   	-27.16   	 21.22   	-284.84		 68.46   	   0.00		
 -0.31   	-29.60   	 20.08   	-264.50		 68.46   	   0.00		
  0.00   	-32.35   	 19.02   	-335.71		 68.46   	 -10.17		
 -0.92   	-35.40   	 17.68   	-605.29		 68.42   	 -15.26		
 -2.14   	-38.45   	 15.26   	-686.67		 68.36   	 -30.52		
 -2.75   	-40.59   	 12.51   	-233.98		 68.24   	 -45.78		
 -1.22   	-41.50   	 11.58   	  50.86		 68.06   	 -66.12		
  1.83   	-40.59   	 11.78   	 -20.35		 67.79   	 -81.38		
  4.58   	-39.06   	 11.70   	 -96.64		 67.47   	-101.73		
  6.41   	-37.54   	 11.31   	-188.20		 67.06   	-127.16		
  7.02   	-36.62   	 10.56   	-315.36		 66.55   	-142.42		
  7.63   	-36.93   	  9.30   	-279.75		 65.98   	-157.68		
