SAMPLE NUMBER:   1
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec
ECG UNITS:       uV
ECG RESOLUTION:  0.3051758 uV/unit

------------------------- Begin Data -------------------------
  I     	  II     	  RV     	  RV'		  FA     	  FA'		
-10.99   	-134.89   	  2.83   	 -15.26		 75.87   	 -50.86		
-12.51   	-135.80   	  2.77   	  -5.09		 75.67   	 -50.86		
-17.40   	-137.94   	  2.75   	   0.00		 75.46   	 -45.78		
-23.50   	-140.08   	  2.75   	  20.35		 75.28   	 -45.78		
-26.25   	-141.30   	  2.83   	  25.43		 75.10   	 -40.69		
-23.50   	-140.38   	  2.93   	  40.69		 74.93   	 -35.61		
-15.87   	-137.63   	  3.09   	  30.52		 74.79   	 -25.43		
 -8.85   	-134.58   	  3.21   	  15.26		 74.69   	 -30.52		
 -7.02   	-132.45   	  3.28   	  15.26		 74.57   	 -35.61		
-10.99   	-132.14   	  3.34   	  25.43		 74.42   	 -45.78		
-16.17   	-132.45   	  3.44   	   5.09		 74.24   	 -40.69		
-18.31   	-132.14   	  3.46   	 -25.43		 74.08   	 -35.61		
-16.48   	-130.62   	  3.36   	 -25.43		 73.94   	 -40.69		
-11.29   	-127.26   	  3.26   	   5.09		 73.77   	 -45.78		
 -7.32   	-123.90   	  3.28   	   5.09		 73.59   	 -50.86		
 -7.02   	-120.85   	  3.30   	  10.17		 73.39   	 -50.86		
-10.07   	-118.71   	  3.34   	  20.35		 73.18   	 -45.78		
-14.95   	-116.88   	  3.42   	  15.26		 73.00   	 -40.69		
-18.01   	-114.14   	  3.48   	  15.26		 72.84   	 -35.61		
-15.56   	-109.25   	  3.54   	  30.52		 72.70   	 -30.52		
 -6.71   	-102.23   	  3.66   	  35.61		 72.57   	 -25.43		
  6.71   	-94.30   	  3.80   	  20.35		 72.47   	 -15.26		
 20.45   	-88.20   	  3.89   	   0.00		 72.41   	  -5.09		
 30.82   	-84.23   	  3.89   	 -10.17		 72.39   	   5.09		
 37.84   	-79.35   	  3.85   	  -5.09		 72.41   	  -5.09		
 43.03   	-67.14   	  3.83   	 -15.26		 72.39   	   0.00		
 48.52   	-46.08   	  3.76   	 -20.35		 72.39   	   5.09		
 54.93   	-20.14   	  3.68   	 -15.26		 72.41   	   0.00		
 61.65   	  0.61   	  3.62   	   0.00		 72.41   	  -5.09		
 68.05   	  9.16   	  3.62   	  15.26		 72.39   	 -15.26		
 74.16   	  6.10   	  3.68   	  10.17		 72.33   	 -15.26		
 79.65   	 -3.05   	  3.72   	  20.35		 72.27   	 -20.35		
 83.31   	-11.60   	  3.80   	  20.35		 72.19   	 -20.35		
 82.70   	-18.01   	  3.89   	  20.35		 72.11   	 -30.52		
 77.21   	-23.50   	  3.97   	  10.17		 71.98   	 -30.52		
 67.44   	-29.30   	  4.01   	  10.17		 71.86   	 -30.52		
