SAMPLE NUMBER:   2
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec
ECG UNITS:       uV
ECG RESOLUTION:  0.3051758 uV/unit

------------------------- Begin Data -------------------------
  I     	  II     	  RV     	  RV'		  AO     	  AO'		
125.12   	  0.92   	 67.02   	-127.16		 69.64   	 345.88		
131.53   	  8.24   	 66.51   	-172.94		 71.03   	 335.71		
130.92   	  3.66   	 65.82   	-178.03		 72.37   	 310.27		
124.51   	-12.82   	 65.11   	-111.90		 73.61   	 269.58		
118.10   	-34.48   	 64.66   	 -10.17		 74.69   	 223.80		
118.41   	-49.13   	 64.62   	 106.82		 75.58   	 188.20		
126.04   	-50.35   	 65.05   	 198.37		 76.34   	 167.85		
133.97   	-43.03   	 65.84   	 274.67		 77.01   	 147.51		
133.06   	-36.01   	 66.94   	 340.79		 77.60   	 122.07		
122.38   	-34.18   	 68.30   	 376.40		 78.09   	 116.99		
108.95   	-37.23   	 69.81   	 391.66		 78.56   	 106.82		
102.84   	-40.28   	 71.37   	 366.22		 78.98   	  96.64		
109.56   	-40.59   	 72.84   	 335.71		 79.37   	  91.56		
126.65   	-38.15   	 74.18   	 284.84		 79.74   	 101.73		
145.87   	-35.10   	 75.32   	 233.98		 80.14   	 101.73		
160.52   	-32.04   	 76.26   	 188.20		 80.55   	 127.16		
166.02   	-28.99   	 77.01   	 142.42		 81.06   	 183.11		
161.13   	-26.86   	 77.58   	 116.99		 81.79   	 213.63		
148.32   	-28.38   	 78.05   	 106.82		 82.64   	 223.80		
134.89   	-32.96   	 78.47   	 101.73		 83.54   	 264.50		
127.26   	-38.76   	 78.88   	 122.07		 84.60   	 233.98		
128.17   	-46.08   	 79.37   	 137.33		 85.53   	 203.46		
134.28   	-56.76   	 79.92   	 157.68		 86.35   	 213.63		
141.30   	-70.50   	 80.55   	 183.11		 87.20   	 188.20		
148.01   	-82.09   	 81.28   	 198.37		 87.95   	 157.68		
156.25   	-84.84   	 82.07   	 213.63		 88.59   	 178.03		
168.76   	-73.55   	 82.93   	 213.63		 89.30   	 116.99		
182.50   	-53.41   	 83.78   	 198.37		 89.77   	  91.56		
189.21   	-36.93   	 84.58   	 183.11		 90.13   	 147.51		
186.46   	-29.30   	 85.31   	 152.59		 90.72   	 101.73		
182.80   	-23.50   	 85.92   	 132.25		 91.13   	  66.12		
187.38   	 -9.46   	 86.45   	 111.90		 91.39   	 122.07		
199.89   	 14.65   	 86.90   	 101.73		 91.88   	  91.56		
210.57   	 39.98   	 87.30   	  81.38		 92.25   	  61.04		
205.69   	 53.71   	 87.63   	  81.38		 92.49   	 106.82		
181.27   	 52.19   	 87.95   	  76.30		 92.92   	  81.38		
147.71   	 46.08   	 88.26   	  71.21		 93.24   	  40.69		
122.38   	 52.49   	 88.54   	  71.21		 93.41   	  81.38		
111.69   	 77.82   	 88.83   	  66.12		 93.73   	  66.12		
108.34   	114.14   	 89.09   	  61.04		 94.00   	  20.35		
100.10   	148.01   	 89.34   	  50.86		 94.08   	  45.78		
 79.35   	167.85   	 89.54   	  30.52		 94.26   	  40.69		
 47.30   	170.29   	 89.66   	  15.26		 94.42   	   0.00		
 12.82   	158.69   	 89.72   	  -5.09		 94.42   	  25.43		
-14.34   	139.47   	 89.70   	 -25.43		 94.53   	  30.52		
-30.21   	118.10   	 89.60   	 -50.86		 94.65   	 -15.26		
-36.62   	 96.44   	 89.40   	 -76.30		 94.59   	   0.00		
-38.45   	 75.68   	 89.09   	-106.82		 94.59   	  20.35		
-40.28   	 57.07   	 88.67   	-132.25		 94.67(S)	 -15.26		
-43.64   	 43.33   	 88.14   	-157.68		 94.61   	 -45.78		
-47.91   	 36.01   	 87.51   	-188.20		 94.42   	   0.00		
-51.88   	 34.48   	 86.75   	-223.80		 94.42   	 -15.26		
-54.63   	 34.48   	 85.86   	-264.50		 94.36   	 -61.04		
-56.46   	 33.26   	 84.80   	-305.19		 94.12   	 -61.04		
-56.15   	 29.60   	 83.58   	-356.05		 93.88   	 -35.61		
-52.19   	 26.86   	 82.16   	-412.00		 93.73   	 -66.12		
-44.56   	 27.77   	 80.51   	-478.13		 93.47   	 -91.56		
-35.10   	 33.57   	 78.60   	-564.60		 93.10   	 -86.47		
-28.38   	 39.98   	 76.34   	-645.98		 92.76   	-101.73		
-29.30   	 40.28   	 73.75   	-732.45		 92.35   	-122.07		
-41.50   	 28.69   	 70.82   	-818.92		 91.86   	-142.42		
-64.09   	  3.05   	 67.55   	-874.87		 91.29   	-147.51		
-89.11   	-28.38   	 64.05   	-890.13		 90.70   	-178.03		
-102.23   	-50.05   	 60.49   	-869.78		 89.99   	-198.37		
-94.60   	-50.66   	 57.01   	-849.44		 89.20   	-213.63		
-70.80   	-31.74   	 53.61   	-793.49		 88.34   	-228.89		
-48.22   	 -9.16   	 50.44   	-732.45		 87.43   	-233.98		
-42.72   	  1.53   	 47.51   	-671.41		 86.49   	-228.89		
-52.80   	 -1.22   	 44.82   	-625.63		 85.57   	-198.37		
-62.87   	 -5.19   	 42.32   	-574.77		 84.78   	-157.68		
-56.15   	  3.36   	 40.02   	-539.16		 84.15   	-106.82		
-32.35   	 25.02   	 37.86   	-513.73		 83.72   	 -61.04		
 -7.63   	 43.95   	 35.81   	-498.47		 83.48   	 -25.43		
  0.00   	 44.56   	 33.81   	-493.39		 83.38   	  -5.09		
-12.82   	 25.02   	 31.84   	-498.47		 83.36   	  15.26		
-31.13   	  0.61   	 29.85   	-498.47		 83.42   	   5.09		
-34.18   	 -8.54   	 27.85   	-498.47		 83.44   	   0.00		
-13.43   	  7.32   	 25.86   	-488.30		 83.44   	 -30.52		
 18.92   	 35.71   	 23.91   	-467.95		 83.32   	 -50.86		
 40.89   	 55.24   	 22.03   	-432.35		 83.11   	 -71.21		
 38.76   	 52.49   	 20.31   	-396.74		 82.83   	 -86.47		
 17.40   	 33.26   	 18.72   	-345.88		 82.48   	 -96.64		
 -6.71   	 15.87   	 17.33   	-289.93		 82.10   	-101.73		
-17.40   	 16.17   	 16.17   	-244.15		 81.69   	 -96.64		
-14.04   	 32.04   	 15.20   	-193.29		 81.30   	 -81.38		
 -7.02   	 48.22   	 14.43   	-167.85		 80.98   	 -71.21		
 -3.97   	 51.88   	 13.75   	-147.51		 80.69   	 -50.86		
 -4.88   	 40.89   	 13.16   	-142.42		 80.49   	 -35.61		
 -5.49   	 21.36   	 12.59   	-147.51		 80.35   	 -25.43		
 -3.97   	  0.92   	 12.00   	-167.85		 80.24   	 -20.35		
 -3.36   	-18.01   	 11.33   	-188.20		 80.16   	 -15.26		
 -9.16   	-34.79   	 10.58   	-218.72		 80.10   	 -15.26		
-18.92   	-45.47   	  9.70   	-239.06		 80.04   	 -20.35		
-25.33   	-44.86   	  8.75   	-254.32		 79.96   	 -20.35		
-23.80   	-33.26   	  7.73   	-249.24		 79.88   	 -25.43		
-16.48   	-17.70   	  6.73   	-249.24		 79.78   	 -35.61		
-10.38   	 -7.32   	  5.74   	-310.27		 79.63   	 -30.52		
-12.21   	 -8.54   	  4.50   	-376.40		 79.51   	 -35.61		
-21.97   	-19.53   	  2.99   	-350.97		 79.37   	 -35.61		
-33.26   	-32.65   	  1.59   	-244.15		 79.23   	 -35.61		
-41.20   	-42.42   	  0.61   	-101.73		 79.08   	 -25.43		
-43.95   	-47.30   	  0.20   	  55.95		 78.98   	 -25.43		
-43.95   	-50.05   	  0.43   	 198.37		 78.88   	 -20.35		
-42.42   	-50.35   	  1.22   	 325.53		 78.80   	 -20.35		
-39.06   	-47.61   	  2.52   	 366.22		 78.72   	 -10.17		
-34.48   	-38.76   	  3.99   	 335.71		 78.68   	 -15.26		
-28.69   	-23.50   	  5.33   	 279.75		 78.62   	 -15.26		
-25.33   	 -5.19   	  6.45   	 218.72		 78.56   	 -15.26		
-29.30   	  8.85   	  7.32   	 152.59		 78.49   	 -20.35		
-38.76   	 15.26   	  7.93   	  61.04		 78.41   	 -25.43		
-47.91   	 14.95   	  8.18   	 -30.52		 78.31   	 -25.43		
-49.44   	 11.60   	  8.06   	-106.82		 78.21   	 -30.52		
-41.50   	  9.77   	  7.63   	-142.42		 78.09   	 -35.61		
-27.47   	  9.46   	  7.06   	-147.51		 77.94   	 -35.61		
-15.87   	  7.63   	  6.47   	-132.25		 77.80   	 -35.61		
-11.90   	  2.14   	  5.94   	-106.82		 77.66   	 -35.61		
-14.65   	 -4.27   	  5.51   	 -71.21		 77.52   	 -35.61		
