SAMPLE NUMBER:   11
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec
ECG UNITS:       uV
ECG RESOLUTION:  0.3051758 uV/unit

------------------------- Begin Data -------------------------
  I     	  II     	  RV     	  RV'		
 50.96   	 42.72   	 20.49   	-142.42		
 47.30   	 45.17   	 19.92   	-147.51		
 48.22   	 47.30   	 19.33   	-116.99		
 53.41   	 49.44   	 18.86   	 -91.56		
 58.29   	 51.57   	 18.49   	 -96.64		
 58.59   	 54.32   	 18.11   	-106.82		
 55.24   	 57.07   	 17.68   	-106.82		
 52.80   	 58.90   	 17.25   	-116.99		
 54.63   	 59.81   	 16.79   	-142.42		
 58.90   	 59.51   	 16.22   	-183.11		
 61.65   	 57.68   	 15.48   	-193.29		
 59.81   	 54.63   	 14.71   	-198.37		
 53.41   	 51.27   	 13.92   	-223.80		
 45.78   	 47.61   	 13.02   	-218.72		
 41.50   	 43.95   	 12.15   	-203.46		
 41.50   	 40.89   	 11.33   	-203.46		
 44.56   	 37.84   	 10.52   	-193.29		
 48.22   	 34.79   	  9.75   	-178.03		
 50.35   	 31.43   	  9.03   	-178.03		
 50.05   	 28.08   	  8.32   	-172.94		
 46.39   	 25.33   	  7.63   	-152.59		
 40.59   	 22.89   	  7.02   	-111.90		
 33.26   	 21.06   	  6.57   	 -61.04		
 27.47   	 18.92   	  6.33   	   5.09		
 25.63   	 16.48   	  6.35   	  15.26		
 29.30   	 13.43   	  6.41   	   0.00		
 36.93   	 11.29   	  6.41   	  20.35		
 44.56   	 10.07   	  6.49   	  50.86		
 48.83   	 10.38   	  6.69   	  55.95		
 49.13   	 10.99   	  6.92   	  35.61		
 46.69   	 11.60   	  7.06   	   0.00		
 42.72   	 11.60   	  7.06   	 -15.26		
 38.15   	 10.99   	  7.00   	 -20.35		
 33.26   	 10.68   	  6.92   	 -30.52		
 29.60   	 10.07   	  6.80   	 -45.78		
 28.38   	  9.77   	  6.61   	 -55.95		
 30.21   	  9.16   	  6.39   	 -71.21		
 32.65   	  9.46   	  6.10   	 -91.56		
 33.57   	 10.07   	  5.74   	 -81.38		
 30.82   	 10.99   	  5.41   	 -71.21		
 23.50   	 10.99   	  5.13   	 -66.12		
 14.34   	 10.99   	  4.86   	 -40.69		
  5.80   	 10.38   	  4.70   	  20.35		
  1.83   	  9.77   	  4.78   	  55.95		
  3.66   	  8.54   	  5.01   	  50.86		
  9.77   	  7.02   	  5.21   	  45.78		
 15.26   	  5.19   	  5.39   	  10.17		
 14.65   	  3.66   	  5.43   	 -25.43		
  7.02   	  2.75   	  5.33   	 -40.69		
 -3.97   	  2.44   	  5.17   	 -35.61		
-12.51   	  2.14   	  5.03   	   5.09		
-14.65   	  1.22   	  5.05   	  76.30		
-11.29   	  0.31   	  5.35   	 142.42		
 -6.41   	  0.00   	  5.92   	 198.37		
 -3.97   	  1.22   	  6.71   	 233.98		
 -4.58   	  3.36   	  7.65   	 239.06		
 -4.27   	  6.10   	  8.61   	 228.89		
  1.83   	  8.24   	  9.52   	 213.63		
 15.87   	  8.85   	 10.38   	 167.85		
 34.79   	  7.32   	 11.05   	  96.64		
 53.10   	  4.58   	 11.43   	  40.69		
 65.61   	  2.75   	 11.60   	 -35.61		
 69.89   	  4.88   	 11.45   	-101.73		
 66.53   	 13.73   	 11.05   	-137.33		
 57.68   	 31.13   	 10.50   	-137.33		
 45.17   	 54.63   	  9.95   	-132.25		
 32.96   	 79.04   	  9.42   	-101.73		
 24.11   	 98.57   	  9.01   	 -61.04		
 17.40   	114.44   	  8.77   	  55.95		
 16.48   	113.83   	  8.99   	  91.56		
