SAMPLE NUMBER:   12
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec
ECG UNITS:       uV
ECG RESOLUTION:  0.3051758 uV/unit

------------------------- Begin Data -------------------------
  I     	  II     	  RV     	  RV'		  AO     	  AO'		
-37.84   	-129.70   	  8.89   	  20.35		 83.46   	 -45.78		
-37.54   	-132.45   	  8.97   	  20.35		 83.28   	 -50.86		
-36.93   	-132.45   	  9.05   	  10.17		 83.07   	 -55.95		
-36.32   	-129.70   	  9.09   	   0.00		 82.85   	 -50.86		
-36.01   	-125.43   	  9.09   	   0.00		 82.64   	 -50.86		
-36.32   	-121.46   	  9.09   	 -10.17		 82.44   	 -45.78		
-36.93   	-120.85   	  9.05   	 -15.26		 82.26   	 -45.78		
-36.93   	-124.51   	  8.99   	  -5.09		 82.07   	 -45.78		
-35.71   	-132.45   	  8.97   	   0.00		 81.89   	 -45.78		
-33.87   	-142.21   	  8.97   	  10.17		 81.71   	 -45.78		
-32.04   	-150.15   	  9.01   	  15.26		 81.53   	 -40.69		
-31.43   	-151.67   	  9.07   	  20.35		 81.36   	 -45.78		
-32.04   	-145.87   	  9.16   	  25.43		 81.18   	 -40.69		
-33.26   	-135.50   	  9.26   	  35.61		 81.02   	 -40.69		
-34.48   	-126.04   	  9.40   	  35.61		 80.85   	 -40.69		
-34.18   	-120.85   	  9.54   	  35.61		 80.69   	 -40.69		
-33.26   	-121.15   	  9.68   	  40.69		 80.53   	 -40.69		
-31.74   	-125.43   	  9.85   	  40.69		 80.37   	 -35.61		
-30.82   	-130.92   	 10.01   	  50.86		 80.22   	 -40.69		
-31.74   	-135.50   	 10.21   	  35.61		 80.06   	 -40.69		
-33.57   	-137.63   	 10.36   	  30.52		 79.90   	 -45.78		
-35.71   	-136.41   	 10.48   	  25.43		 79.71   	 -45.78		
-36.01   	-132.14   	 10.58   	  15.26		 79.53   	 -50.86		
-33.57   	-125.12   	 10.64   	  10.17		 79.33   	 -45.78		
-30.21   	-118.10   	 10.68   	   5.09		 79.15   	 -50.86		
-27.47   	-112.92   	 10.70   	 -10.17		 78.94   	 -50.86		
-27.47   	-110.17   	 10.66   	 -10.17		 78.74   	 -45.78		
-29.60   	-109.86   	 10.62   	  -5.09		 78.56   	 -40.69		
-31.13   	-111.39   	 10.60   	 -10.17		 78.39   	 -35.61		
-31.13   	-113.22   	 10.56   	  -5.09		 78.25   	 -35.61		
-29.91   	-114.75   	 10.54   	  -5.09		 78.11   	 -35.61		
-28.08   	-114.44   	 10.52   	   0.00		 77.97   	 -40.69		
-26.86   	-111.39   	 10.52   	   5.09		 77.80   	 -35.61		
-26.55   	-105.59   	 10.54   	   0.00		 77.66   	 -40.69		
-26.86   	-99.79   	 10.54   	   0.00		 77.50   	 -45.78		
-27.16   	-96.74   	 10.54   	   5.09		 77.31   	 -45.78		
-27.77   	-97.96   	 10.56   	   5.09		 77.13   	 -45.78		
-28.69   	-102.54   	 10.58   	   0.00		 76.95   	 -45.78		
-28.38   	-107.12   	 10.58   	   5.09		 76.76   	 -40.69		
-27.47   	-108.95   	 10.60   	   5.09		 76.60   	 -45.78		
-26.55   	-107.73   	 10.62   	  10.17		 76.42   	 -40.69		
-26.55   	-104.98   	 10.66   	  10.17		 76.26   	 -35.61		
-27.77   	-102.23   	 10.70   	  10.17		 76.11   	 -35.61		
-30.52   	-100.10   	 10.74   	  20.35		 75.97   	 -35.61		
-32.35   	-98.57   	 10.82   	  15.26		 75.83   	 -30.52		
-32.04   	-98.57   	 10.89   	  25.43		 75.71   	 -35.61		
-29.60   	-99.49   	 10.99   	  20.35		 75.56   	 -35.61		
-25.94   	-100.71   	 11.07   	  25.43		 75.42   	 -35.61		
-22.58   	-101.32   	 11.17   	  20.35		 75.28   	 -35.61		
-21.67   	-100.40   	 11.25   	  10.17		 75.14   	 -35.61		
-22.58   	-97.96   	 11.29   	   5.09		 74.99   	 -35.61		
-24.72   	-95.83   	 11.31   	   5.09		 74.85   	 -35.61		
-26.25   	-94.60   	 11.33   	  10.17		 74.71   	 -30.52		
-26.86   	-94.60   	 11.37   	  15.26		 74.59   	 -35.61		
-26.55   	-96.13   	 11.43   	  10.17		 74.45   	 -35.61		
-25.94   	-97.96   	 11.48   	  15.26		 74.30   	 -35.61		
-25.94   	-99.49   	 11.54   	  20.35		 74.16   	 -35.61		
-26.55   	-100.40   	 11.62   	  15.26		 74.02   	 -35.61		
-27.16   	-101.01   	 11.68   	  15.26		 73.88   	 -35.61		
-27.47   	-101.93   	 11.74   	  10.17		 73.73   	 -40.69		
-26.86   	-101.93   	 11.78   	   5.09		 73.57   	 -35.61		
-25.33   	-100.71   	 11.80   	   0.00		 73.43   	 -30.52		
-24.41   	-98.57   	 11.80   	  -5.09		 73.31   	 -35.61		
-24.11   	-97.05   	 11.78   	 -10.17		 73.16   	 -35.61		
-24.72   	-97.05   	 11.74   	 -15.26		 73.02   	 -35.61		
-25.63   	-99.18   	 11.68   	 -10.17		 72.88   	 -35.61		
-26.25   	-101.93   	 11.64   	 -15.26		 72.74   	 -35.61		
-26.55   	-103.76   	 11.58   	 -15.26		 72.59   	 -35.61		
-26.55   	-103.76   	 11.52   	 -15.26		 72.45   	 -35.61		
-26.55   	-102.54   	 11.45   	 -10.17		 72.31   	 -35.61		
-26.55   	-101.62   	 11.41   	  -5.09		 72.17   	 -35.61		
-26.25   	-101.93   	 11.39   	  -5.09		 72.02   	 -30.52		
-25.94   	-103.15   	 11.37   	   5.09		 71.90   	 -30.52		
-25.33   	-104.06   	 11.39   	   5.09		 71.78   	 -35.61		
-24.41   	-103.15   	 11.41   	   5.09		 71.64   	 -30.52		
-23.19   	-100.10   	 11.43   	   5.09		 71.52   	 -35.61		
-21.97   	-95.83   	 11.45   	  10.17		 71.37   	 -30.52		
-21.67   	-92.16   	 11.50   	   5.09		 71.25   	 -35.61		
-21.67   	-89.72   	 11.52   	   5.09		 71.11   	 -40.69		
-21.67   	-87.59   	 11.54   	   5.09		 70.95   	 -35.61		
-21.36   	-85.45   	 11.56   	   0.00		 70.80   	 -35.61		
-20.75   	-82.70   	 11.56   	  -5.09		 70.66   	 -35.61		
-20.45   	-79.96   	 11.54   	   0.00		 70.52   	 -40.69		
-21.06   	-77.82   	 11.54   	  -5.09		 70.36   	 -35.61		
-21.97   	-76.90   	 11.52   	  -5.09		 70.21   	 -35.61		
-21.97   	-76.29   	 11.50   	  -5.09		 70.07   	 -30.52		
-21.06   	-75.99   	 11.48   	   0.00		 69.95   	 -30.52		
-20.14   	-76.29   	 11.48   	   0.00		 69.83   	 -35.61		
-20.45   	-76.60   	 11.48   	  10.17		 69.68   	 -30.52		
-22.58   	-76.60   	 11.52   	  10.17		 69.56   	 -25.43		
-24.72   	-75.38   	 11.56   	  10.17		 69.46   	 -30.52		
-25.63   	-73.85   	 11.60   	  15.26		 69.34   	 -30.52		
-24.11   	-73.55   	 11.66   	  10.17		 69.22   	 -30.52		
-20.14   	-77.21   	 11.70   	  15.26		 69.09   	 -25.43		
-14.65   	-85.45   	 11.76   	  10.17		 68.99   	 -25.43		
 -7.63   	-98.57   	 11.80   	   5.09		 68.89   	 -30.52		
  0.31   	-117.49   	 11.82   	   0.00		 68.77   	 -25.43		
  9.46   	-142.82   	 11.82   	   5.09		 68.67   	 -30.52		
 18.31   	-172.12   	 11.84   	   0.00		 68.55   	 -30.52		
 26.25   	-200.20   	 11.84   	   0.00		 68.42   	 -30.52		
 32.65   	-220.64   	 11.84   	  -5.09		 68.30   	 -30.52		
 37.84   	-229.49   	 11.82   	   0.00		 68.18   	 -30.52		
 41.81   	-222.78   	 11.82   	   0.00		 68.06   	 -30.52		
 43.95   	-199.58   	 11.82   	  -5.09		 67.93   	 -30.52		
 43.33   	-161.74   	 11.80   	   0.00		 67.81   	 -25.43		
 39.98   	-115.66   	 11.80   	   0.00		 67.71   	 -25.43		
 36.01   	-72.63   	 11.80   	   0.00		 67.61   	 -25.43		
 32.04   	-44.86   	 11.80   	   5.09		 67.51   	 -20.35		
 28.69   	-37.54   	 11.82   	   5.09		 67.43   	 -25.43		
 25.94   	-45.78   	 11.84   	   0.00		 67.32   	 -20.35		
 22.58   	-60.12   	 11.84   	  10.17		 67.24   	 -25.43		
 18.01   	-73.24   	 11.88   	  10.17		 67.14   	 -25.43		
 11.29   	-83.62   	 11.92   	   5.09		 67.04   	 -25.43		
  1.83   	-92.47   	 11.94   	   5.09		 66.94   	 -25.43		
-10.07   	-99.79   	 11.96   	   0.00		 66.84   	 -25.43		
-22.28   	-101.93   	 11.96   	   0.00		 66.73   	 -30.52		
-31.13   	-95.83   	 11.96   	   0.00		 66.61   	 -25.43		
-34.48   	-82.40   	 11.96   	   0.00		 66.51   	 -25.43		
-33.26   	-68.66   	 11.96   	 -10.17		 66.41   	 -25.43		
-30.52   	-62.26   	 11.92   	  -5.09		 66.31   	 -20.35		
-29.30   	-65.31   	 11.90   	  -5.09		 66.23   	 -20.35		
-29.91   	-72.63   	 11.88   	  -5.09		 66.14   	 -20.35		
-31.13   	-77.82   	 11.86   	   0.00		 66.06   	 -15.26		
-30.82   	-75.68   	 11.86   	   0.00		 66.00   	 -20.35		
-28.08   	-68.05   	 11.86   	   5.09		 65.92   	 -25.43		
-24.41   	-58.90   	 11.88   	  10.17		 65.82   	 -20.35		
-22.89   	-53.10   	 11.92   	  10.17		 65.74   	 -30.52		
-23.50   	-54.93   	 11.96   	  10.17		 65.62   	 -25.43		
-25.33   	-67.14   	 12.00   	  15.26		 65.51   	 -30.52		
-26.25   	-90.33   	 12.07   	  20.35		 65.39   	 -35.61		
-24.41   	-117.80   	 12.15   	  20.35		 65.25   	 -30.52		
-19.23   	-131.23   	 12.23   	  20.35		 65.13   	 -30.52		
 -8.85   	-110.17   	 12.31   	  15.26		 65.00   	 -35.61		
 11.90   	-42.11   	 12.37   	  15.26		 64.86   	 -30.52		
 48.83   	 76.60   	 12.43   	  20.35		 64.74   	 -30.52		
105.29   	247.19   	 12.51   	  15.26		 64.62   	 -25.43		
173.34   	471.80   	 12.57   	  10.17		 64.52   	 -25.43		
234.07   	746.77   	 12.61   	  10.17		 64.41   	 -25.43		
261.54   	1048.58   	 12.66   	   0.00		 64.31   	 -25.43		
146.48   	1525.88   	 12.66   	   0.00		 64.21   	 -25.43		
 19.53   	1588.75(R)	 12.66   	 -10.17		 64.11   	 -25.43		
-108.95   	1484.07   	 12.61   	  -5.09		 64.01   	 -25.43		
-200.50   	1208.19   	 12.59   	  -5.09		 63.91   	 -25.43		
-232.24   	802.92   	 12.57   	 -10.17		 63.80   	 -20.35		
-206.91   	361.94   	 12.53   	 -10.17		 63.72   	 -25.43		
-148.01   	  6.10   	 12.49   	   0.00		 63.62   	 -25.43		
-84.23   	-174.26   	 12.49(E)	  -5.09		 63.52   	 -25.43		
-36.93   	-172.42   	 12.47   	   5.09		 63.42   	 -20.35		
-12.21   	-70.80   	 12.49   	  10.17		 63.34   	 -20.35		
 -6.10   	 21.67   	 12.53   	  15.26		 63.26   	 -15.26		
 -9.16   	 43.95   	 12.59   	  15.26		 63.19   	 -15.26		
-13.12   	  5.49   	 12.66   	  15.26		 63.13   	 -10.17		
-13.43   	-44.86   	 12.72   	  20.35		 63.09   	   0.00		
-10.38   	-69.27   	 12.80   	  15.26		 63.09   	   5.09		
 -6.41   	-63.78   	 12.86   	   5.09		 63.11   	   5.09		
 -4.27   	-47.30   	 12.88   	   5.09		 63.13   	   5.09		
 -3.66   	-35.71   	 12.90   	  20.35		 63.15   	  -5.09		
 -4.27   	-32.96   	 12.98   	  55.95		 63.13   	 -15.26		
 -3.97   	-34.79   	 13.20   	  91.56		 63.07   	 -15.26		
 -2.75   	-37.84   	 13.57   	 116.99		 63.01   	 -25.43		
 -1.53   	-40.28   	 14.04   	 142.42		 62.91   	 -35.61		
 -1.22   	-41.81   	 14.61   	 162.77		 62.77   	 -35.61		
 -1.22   	-41.50   	 15.26   	 203.46		 62.62   	 -25.43		
 -1.22   	-37.54   	 16.07   	 305.19		 62.52   	 -35.61		
  0.92   	-19.84   	 17.29   	 300.10		 62.38   	 -35.61		
  2.44   	 -9.77   	 18.49   	 305.19		 62.24   	 -35.61		
  3.66   	 -3.36   	 19.72   	 325.53		 62.10   	 -30.52		
