SAMPLE NUMBER:   10
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec
ECG UNITS:       uV
ECG RESOLUTION:  0.3051758 uV/unit

------------------------- Begin Data -------------------------
  I     	  II     	  RV     	  RV'		
-448.30   	-305.18   	  5.66   	  40.69		
-304.26   	-284.42   	  5.82   	  50.86		
-189.21   	-244.45   	  6.02   	  55.95		
-109.56   	-241.09   	  6.25   	  61.04		
-59.81   	-267.33   	  6.49   	  66.12		
-34.48   	-289.00   	  6.75   	  71.21		
-26.86   	-285.95   	  7.04   	  76.30		
-28.69   	-262.45   	  7.34   	  86.47		
-30.82   	-233.15   	  7.69   	 106.82		
-27.47   	-210.27   	  8.12   	 122.07		
-18.31   	-197.14   	  8.61   	 142.42		
 -5.49   	-190.43   	  9.18   	 157.68		
  5.49   	-185.85   	  9.81   	 183.11		
 10.07   	-182.80   	 10.54   	 223.80		
  7.02   	-180.97   	 11.43   	 259.41		
 -1.83   	-176.39   	 12.47   	 305.19		
-11.60   	-167.54   	 13.69   	 320.45		
-15.26   	-159.91   	 14.97   	 320.45		
 -9.46   	-160.52   	 16.26   	 300.10		
  4.27   	-169.07   	 17.46   	 279.75		
 20.45   	-173.65   	 18.58   	 259.41		
 32.65   	-162.05   	 19.61   	 233.98		
 37.54   	-139.16   	 20.55   	 208.54		
 36.01   	-122.68   	 21.38   	 198.37		
 34.48   	-123.60   	 22.18   	 183.11		
 38.45   	-135.19   	 22.91   	 167.85		
 47.30   	-140.69   	 23.58   	 147.51		
 55.85   	-129.70   	 24.17   	 137.33		
 60.12   	-108.03   	 24.72   	 116.99		
 58.90   	-90.03   	 25.19   	 101.73		
 58.90   	-90.03   	 25.60   	  81.38		
 54.32   	-82.09   	 25.92   	  66.12		
 54.32   	-82.09   	 26.19   	  35.61		
 66.53   	-81.48   	 26.33   	  25.43		
 66.53   	-81.48   	 26.43(S)	 -61.04		
 86.67   	-98.57   	 26.19   	 -50.86		
 86.67   	-98.57   	 25.98   	-142.42		
 97.05   	-121.46   	 25.41   	-122.07		
 97.05   	-121.46   	 24.92   	-127.16		
 96.44   	-111.69   	 24.41   	-111.90		
 96.44   	-111.69   	 23.97   	 -45.78		
112.92   	-76.90   	 23.78   	  -5.09		
125.12   	-54.32   	 23.76   	  20.35		
134.58   	-32.96   	 23.85   	  50.86		
139.47   	-18.01   	 24.05   	  71.21		
141.60   	-11.29   	 24.33   	  86.47		
143.43   	 -9.46   	 24.68   	  76.30		
146.48   	 -5.49   	 24.98   	  55.95		
148.93   	  3.66   	 25.21   	  15.26		
148.32   	 14.65   	 25.27   	 -25.43		
144.04   	 17.40   	 25.17   	 -66.12		
135.80   	  6.41   	 24.90   	-106.82		
122.38   	-12.21   	 24.48   	-137.33		
103.76   	-25.33   	 23.93   	-152.59		
 81.79   	-26.55   	 23.32   	-162.77		
 60.42   	-19.84   	 22.67   	-167.85		
