SAMPLE NUMBER:   3
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec
ECG UNITS:       uV
ECG RESOLUTION:  0.3051758 uV/unit

------------------------- Begin Data -------------------------
  I     	  II     	  RFA     	  RFA'		  RV     	  RV'		
-68.36   	-119.32   	 54.08   	 -35.61		  7.14   	   0.00		
-66.83   	-117.19   	 53.94   	 -40.69		  7.14   	  -5.09		
-65.92   	-116.58   	 53.77   	 -35.61		  7.12   	  -5.09		
-65.61   	-117.19   	 53.63   	 -30.52		  7.10   	  -5.09		
-65.92   	-118.41   	 53.51   	 -40.69		  7.08   	 -10.17		
-66.53   	-119.02   	 53.35   	 -35.61		  7.04   	 -10.17		
-66.22   	-118.41   	 53.20   	 -40.69		  7.00   	  -5.09		
-65.31   	-116.27   	 53.04   	 -30.52		  6.98   	  -5.09		
-63.78   	-113.22   	 52.92   	 -30.52		  6.96   	  -5.09		
-62.26   	-110.17   	 52.80   	 -35.61		  6.94   	  -5.09		
-61.04   	-108.34   	 52.65   	 -35.61		  6.92   	  -5.09		
-60.73   	-107.12   	 52.51   	 -35.61		  6.90   	   0.00		
-60.12   	-105.59   	 52.37   	 -30.52		  6.90   	  10.17		
-58.59   	-102.23   	 52.25   	 -25.43		  6.94   	  15.26		
-56.46   	-97.66   	 52.15   	 -25.43		  7.00   	  15.26		
-54.02   	-92.77   	 52.04   	 -35.61		  7.06   	  15.26		
-52.49   	-90.03   	 51.90   	 -30.52		  7.12   	  20.35		
-51.57   	-92.77   	 51.78   	 -30.52		  7.20   	  20.35		
-50.96   	-106.20   	 51.66   	 -30.52		  7.28   	  20.35		
-49.13   	-135.50   	 51.54   	 -30.52		  7.37   	  15.26		
-43.03   	-177.61   	 51.41   	 -30.52		  7.43   	   5.09		
-23.50   	-210.57   	 51.29   	 -25.43		  7.45   	   5.09		
 25.02   	-192.57   	 51.19   	 -30.52		  7.47   	  10.17		
123.90   	-75.68   	 51.07   	 -35.61		  7.51   	   0.00		
288.09   	170.90   	 50.93   	 -30.52		  7.51   	  -5.09		
507.81   	549.32   	 50.80   	 -35.61		  7.49   	   0.00		
737.00   	1036.68   	 50.66   	 -25.43		  7.49   	  -5.09		
898.13   	1569.82   	 50.56   	 -30.52		  7.47   	   0.00		
740.97   	2227.78(R)	 50.44   	 -30.52		  7.47(E)	   5.09		
