SAMPLE NUMBER:   33
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec
ECG UNITS:       uV
ECG RESOLUTION:  0.3051758 uV/unit

------------------------- Begin Data -------------------------
  I     	  II     	  AO     	  AO'		  RV     	  RV'		
-12.82   	-17.09   	 70.56   	 -61.04		 16.07   	-295.01		
 -9.77   	-17.70   	 70.32   	 -66.12		 14.89   	-274.67		
 -6.71   	-17.70   	 70.05   	 -71.21		 13.79   	-249.24		
 -4.58   	-18.01   	 69.77   	 -66.12		 12.80   	-228.89		
 -3.97   	-18.31   	 69.50   	 -66.12		 11.88   	-208.54		
 -4.88   	-19.23   	 69.24   	 -66.12		 11.05   	-188.20		
 -6.41   	-20.14   	 68.97   	 -55.95		 10.29   	-183.11		
 -7.32   	-20.14   	 68.75   	 -55.95		  9.56   	-157.68		
 -7.02   	-20.14   	 68.52   	 -45.78		  8.93   	-147.51		
 -5.80   	-20.75   	 68.34   	 -40.69		  8.34   	-127.16		
 -3.97   	-22.58   	 68.18   	 -30.52		  7.83   	-111.90		
 -1.83   	-25.33   	 68.06   	 -35.61		  7.39   	-101.73		
  0.00   	-28.08   	 67.91   	 -30.52		  6.98   	 -86.47		
  2.75   	-29.91   	 67.79   	 -35.61		  6.63   	 -76.30		
  6.10   	-30.52   	 67.65   	 -30.52		  6.33   	 -61.04		
  9.46   	-30.21   	 67.53   	 -40.69		  6.08   	 -55.95		
 11.29   	-30.52   	 67.36   	 -40.69		  5.86   	 -40.69		
 11.90   	-31.74   	 67.20   	 -45.78		  5.70   	 -35.61		
 11.29   	-33.87   	 67.02   	 -40.69		  5.55   	 -20.35		
 11.90   	-36.01   	 66.86   	 -40.69		  5.47   	 -15.26		
 14.65   	-37.84   	 66.69   	 -45.78		  5.41   	 -15.26		
 19.53   	-39.37   	 66.51   	 -50.86		  5.35   	 -10.17		
 25.02   	-40.59   	 66.31   	 -40.69		  5.31   	 -10.17		
 29.91   	-42.11   	 66.14   	 -35.61		  5.27   	   0.00		
 33.26   	-43.64   	 66.00   	 -45.78		  5.27   	  -5.09		
 35.40   	-45.47   	 65.82   	 -45.78		  5.25   	   5.09		
 36.62   	-47.30   	 65.64   	 -40.69		  5.27   	   5.09		
 36.32   	-49.13   	 65.47   	 -40.69		  5.29   	   5.09		
 34.48   	-50.66   	 65.31   	 -40.69		  5.31   	  10.17		
 30.52   	-52.19   	 65.15   	 -45.78		  5.35   	  10.17		
 25.02   	-54.02   	 64.96   	 -40.69		  5.39   	  15.26		
 18.62   	-55.85   	 64.80   	 -40.69		  5.45   	  15.26		
 12.51   	-57.68   	 64.64   	 -40.69		  5.51   	  15.26		
  7.02   	-58.90   	 64.48   	 -45.78		  5.57   	  15.26		
  3.36   	-59.20   	 64.29   	 -40.69		  5.64   	  15.26		
  0.92   	-58.90   	 64.13   	 -40.69		  5.70   	  20.35		
 -0.92   	-59.20   	 63.97   	 -40.69		  5.78   	  20.35		
 -2.44   	-59.81   	 63.80   	 -40.69		  5.86   	  25.43		
 -3.36   	-61.34   	 63.64   	 -40.69		  5.96   	  30.52		
 -2.75   	-62.56   	 63.48   	 -35.61		  6.08   	  25.43		
  0.31   	-62.56   	 63.34   	 -40.69		  6.19   	  30.52		
  4.58   	-61.95   	 63.17   	 -45.78		  6.31   	  25.43		
  8.54   	-60.73   	 62.99   	 -45.78		  6.41   	  25.43		
 10.38   	-60.42   	 62.81   	 -50.86		  6.51   	  25.43		
  9.16   	-61.04   	 62.60   	 -45.78		  6.61   	  25.43		
  6.41   	-62.56   	 62.42   	 -50.86		  6.71   	  25.43		
  3.05   	-63.48   	 62.22   	 -55.95		  6.82   	  30.52		
  0.61   	-63.48   	 61.99   	 -50.86		  6.94   	  25.43		
 -0.61   	-62.26   	 61.79   	 -40.69		  7.04   	  20.35		
 -0.92   	-61.34   	 61.63   	 -45.78		  7.12   	  20.35		
 -0.61   	-61.65   	 61.44   	 -45.78		  7.20   	  20.35		
  0.61   	-63.17   	 61.26   	 -40.69		  7.28   	  20.35		
  1.83   	-65.31   	 61.10   	 -40.69		  7.37   	  15.26		
  3.66   	-66.53   	 60.94   	 -35.61		  7.43   	  15.26		
  6.71   	-66.22   	 60.79   	 -45.78		  7.49   	  10.17		
 11.29   	-63.78   	 60.61   	 -45.78		  7.53   	  10.17		
 17.09   	-60.42   	 60.43   	 -45.78		  7.57   	  10.17		
 22.28   	-57.37   	 60.24   	 -40.69		  7.61   	  10.17		
 24.72   	-56.15   	 60.08   	 -50.86		  7.65   	  10.17		
 24.41   	-56.76   	 59.88   	 -50.86		  7.69   	  10.17		
 22.89   	-58.59   	 59.67   	 -50.86		  7.73   	  15.26		
 21.67   	-60.73   	 59.47   	 -45.78		  7.79   	  10.17		
 21.36   	-62.56   	 59.29   	 -50.86		  7.83   	  10.17		
 20.14   	-64.39   	 59.08   	 -50.86		  7.87   	  10.17		
 16.48   	-66.53   	 58.88   	 -50.86		  7.91   	  10.17		
 11.60   	-69.27   	 58.68   	 -35.61		  7.96   	  10.17		
  7.32   	-72.63   	 58.53   	 -35.61		  8.00   	   5.09		
  6.71   	-75.99   	 58.39   	 -40.69		  8.02   	  10.17		
  8.85   	-78.13   	 58.23   	 -40.69		  8.06   	  15.26		
 10.68   	-79.35   	 58.07   	 -25.43		  8.12   	  10.17		
  9.77   	-80.26   	 57.97   	 -30.52		  8.16   	  15.26		
  4.88   	-81.18   	 57.84   	 -30.52		  8.22   	   5.09		
 -1.53   	-82.40   	 57.72   	 -35.61		  8.24   	   5.09		
 -6.71   	-83.92   	 57.58   	 -30.52		  8.26   	   5.09		
 -9.46   	-85.14   	 57.46   	 -30.52		  8.28   	  -5.09		
-10.07   	-86.36   	 57.33   	 -25.43		  8.26   	  -5.09		
-10.38   	-86.98   	 57.23   	 -30.52		  8.24   	 -10.17		
-10.68   	-86.98   	 57.11   	 -35.61		  8.20   	  -5.09		
-10.68   	-86.67   	 56.97   	 -30.52		  8.18   	   0.00		
-10.38   	-85.75   	 56.85   	 -30.52		  8.18   	   0.00		
 -9.77   	-84.53   	 56.72   	 -25.43		  8.18   	   0.00		
 -9.46   	-83.92   	 56.62   	 -35.61		  8.18   	   5.09		
 -9.77   	-83.92   	 56.48   	 -30.52		  8.20   	   5.09		
-10.38   	-83.62   	 56.36   	 -30.52		  8.22   	  15.26		
-10.99   	-83.31   	 56.24   	 -30.52		  8.28   	  15.26		
-11.60   	-82.70   	 56.11   	 -30.52		  8.34   	  25.43		
-12.82   	-81.79   	 55.99   	 -25.43		  8.44   	  25.43		
-14.65   	-80.26   	 55.89   	 -25.43		  8.55   	  30.52		
-15.56   	-76.60   	 55.79   	 -20.35		  8.67   	  30.52		
-13.43   	-68.36   	 55.71   	 -20.35		  8.79   	  25.43		
 -8.24   	-54.63   	 55.63   	 -20.35		  8.89   	  20.35		
 -1.83   	-36.62   	 55.54   	 -20.35		  8.97   	  15.26		
  3.05   	-16.78   	 55.46   	 -30.52		  9.03   	  10.17		
  5.19   	  2.14   	 55.34   	 -25.43		  9.07   	   5.09		
  5.80   	 18.31   	 55.24   	 -30.52		  9.09   	   5.09		
  9.46   	 29.91   	 55.12   	 -30.52		  9.11   	   0.00		
 18.01   	 35.71   	 54.99   	 -40.69		  9.11   	  -5.09		
 31.43   	 34.79   	 54.83   	 -40.69		  9.09   	  -5.09		
 45.17   	 27.16   	 54.67   	 -40.69		  9.07   	  -5.09		
 56.15   	 14.95   	 54.51   	 -40.69		  9.05   	 -10.17		
 64.39   	  2.14   	 54.34   	 -40.69		  9.01   	  -5.09		
 70.80   	 -9.46   	 54.18   	 -45.78		  8.99   	 -15.26		
 77.21   	-21.67   	 54.00   	 -50.86		  8.93   	  -5.09		
 80.87   	-36.01   	 53.79   	 -45.78		  8.91   	 -10.17		
 78.13   	-53.10   	 53.61   	 -45.78		  8.87   	 -10.17		
 67.14   	-70.50   	 53.43   	 -45.78		  8.83   	  -5.09		
 51.57   	-85.14   	 53.24   	 -45.78		  8.81   	  -5.09		
 37.23   	-95.21   	 53.06   	 -45.78		  8.79   	   0.00		
 30.52   	-101.93   	 52.88   	 -40.69		  8.79   	   0.00		
 32.96   	-106.20   	 52.72   	 -40.69		  8.79   	   0.00		
 40.59   	-108.03   	 52.55   	 -40.69		  8.79   	   5.09		
 48.52   	-108.34   	 52.39   	 -45.78		  8.81   	   5.09		
 52.80   	-107.42   	 52.21   	 -35.61		  8.83   	  10.17		
 53.10   	-106.51   	 52.06   	 -30.52		  8.87   	   5.09		
 51.57   	-106.20   	 51.94   	 -35.61		  8.89   	   5.09		
 50.66   	-105.90   	 51.80   	 -35.61		  8.91   	  10.17		
 52.19   	-104.68   	 51.66   	 -30.52		  8.95   	  20.35		
 55.85   	-102.54   	 51.54   	 -25.43		  9.03   	  25.43		
 59.81   	-100.71   	 51.43   	 -30.52		  9.14   	  30.52		
 62.87   	-101.93   	 51.31   	 -25.43		  9.26   	  30.52		
 65.00   	-107.73   	 51.21   	 -35.61		  9.38   	  35.61		
 68.36   	-113.22   	 51.07   	 -30.52		  9.52   	  50.86		
 77.21   	-104.98   	 50.95   	 -30.52		  9.73   	  45.78		
 98.27   	-60.73   	 50.82   	 -25.43		  9.91   	  50.86		
131.84   	 47.61   	 50.72   	 -30.52		 10.11   	  55.95		
168.46   	236.21   	 50.60   	 -25.43		 10.34   	  50.86		
182.50   	484.92   	 50.50   	 -15.26		 10.54   	  55.95		
139.47   	724.18   	 50.44   	  -5.09		 10.76   	  66.12		
-152.89   	706.48   	 50.42   	 -10.17		 11.03   	  61.04		
-331.42   	306.40   	 50.38   	   0.00		 11.27   	  61.04		
-449.83   	-269.78   	 50.38   	   5.09		 11.52   	  50.86		
-469.97   	-833.74   	 50.40   	   5.09		 11.72   	  35.61		
-400.39   	-1196.90   	 50.42   	  -5.09		 11.86   	  35.61		
-281.68   	-1267.09(R)	 50.40   	 -10.17		 12.00   	  25.43		
-155.64   	-1082.46   	 50.36   	 -15.26		 12.11   	  20.35		
-46.69   	-762.63   	 50.29   	 -15.26		 12.19   	  10.17		
 38.76   	-433.35   	 50.23   	 -25.43		 12.23   	   5.09		
 99.79   	-179.75   	 50.13   	 -30.52		 12.25   	  -5.09		
132.75   	-36.93   	 50.01   	 -30.52		 12.23(E)	   0.00		
139.16   	  3.66   	 49.89   	 -30.52		 12.23   	   0.00		
