SAMPLE NUMBER:   10
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec
ECG UNITS:       uV
ECG RESOLUTION:  0.3051758 uV/unit

------------------------- Begin Data -------------------------
  I     	  II     	  RV     	  RV'		
105.90   	 88.20   	 33.06   	  50.86		
100.10   	102.23   	 33.27   	  61.04		
 94.30   	115.36   	 33.51   	  35.61		
 88.50   	119.93   	 33.65   	   5.09		
 83.31   	112.00   	 33.67   	 -10.17		
 77.51   	 92.77   	 33.63   	 -15.26		
 71.72   	 69.89   	 33.57   	 -55.95		
 66.83   	 52.80   	 33.35   	-172.94		
 64.70   	 46.69   	 32.66   	-315.36		
 66.22   	 51.27   	 31.39   	-523.90		
 70.80   	 60.73   	 29.30   	-707.02		
 76.60   	 69.58   	 26.47   	-813.83		
 81.79   	 75.38   	 23.21   	-895.22		
 86.36   	 81.48   	 19.63   	-920.65		
 90.64   	 89.42   	 15.95   	-879.96		
 95.21   	 99.79   	 12.43   	-778.23		
 99.79   	109.56   	  9.32   	-656.15		
104.68   	115.97   	  6.69   	-528.99		
109.25   	119.02   	  4.58   	-406.92		
112.61   	119.32   	  2.95   	-310.27		
113.53   	115.05   	  1.71   	-223.80		
109.56   	103.45   	  0.81   	-183.11		
100.40   	 82.70   	  0.08   	-122.07		
 87.28   	 56.76   	 -0.41   	 -45.78		
 74.77   	 34.18   	 -0.59   	   0.00		
 65.92   	 21.97   	 -0.59   	  40.69		
 61.65   	 20.45   	 -0.43   	  66.12		
 60.12   	 24.41   	 -0.16   	  81.38		
 58.90   	 26.55   	  0.16   	  86.47		
 56.76   	 23.50   	  0.51   	  81.38		
 54.32   	 16.48   	  0.83   	  76.30		
 52.19   	  9.77   	  1.14   	  81.38		
 51.27   	  6.10   	  1.46   	  76.30		
 50.66   	  6.10   	  1.77   	  61.04		
 50.05   	  6.10   	  2.01   	  50.86		
 51.27   	  3.05   	  2.22   	  25.43		
 57.37   	 -2.75   	  2.32   	  20.35		
 71.11   	 -3.97   	  2.40   	  10.17		
 93.08   	 13.73   	  2.44   	   5.09		
121.46   	 65.61   	  2.46   	   0.00		
148.62   	163.27   	  2.46   	 -10.17		
161.44   	303.65   	  2.42   	  -5.09		
143.74   	459.29   	  2.40   	  -5.09		
 81.79   	583.50(R)	  2.38   	   5.09		
-161.74   	569.76   	  2.40   	  10.17		
-283.20   	422.36   	  2.44   	  20.35		
-354.31   	232.24   	  2.52   	  25.43		
-358.28   	 48.22   	  2.62   	  -5.09		
-309.14   	-97.96   	  2.60   	   5.09		
-242.00   	-193.79   	  2.62   	  20.35		
-186.16   	-236.82   	  2.71   	  25.43		
-149.84   	-227.05   	  2.81   	  50.86		
-122.68   	-175.78   	  3.01   	  50.86		
-89.72   	-109.56   	  3.21   	  30.52		
-46.69   	-57.98   	  3.34   	  15.26		
 -0.61   	-37.54   	  3.40   	  15.26		
 36.93   	-41.81   	  3.46   	  -5.09		
 60.73   	-50.96   	  3.44   	 -15.26		
 72.94   	-49.13   	  3.38   	  50.86		
 80.57   	-34.79   	  3.58   	 132.25		
 87.28   	-16.78   	  4.11   	 122.07		
 94.30   	 -4.27   	  4.60   	 127.16		
 98.27   	 -0.31   	  5.11   	 132.25		
 98.27   	 -1.53   	  5.64   	 127.16		
 95.83   	 -3.36   	  6.14   	 269.58		
 93.99   	 -2.44   	  7.22   	 412.00		
 95.52   	  1.83   	  8.87   	 396.74		
100.10   	  7.93   	 10.46   	 422.18		
104.98   	 13.73   	 12.15   	 925.73		
109.56   	 21.97   	 15.85   	 467.95		
111.08   	 25.63   	 17.72   	 432.35		
114.14   	 29.60   	 19.45   	 371.31		
119.02   	 33.57   	 20.94   	 330.62		
124.51   	 38.15   	 22.26   	 274.67		
129.70   	 43.33   	 23.36   	 203.46		
134.28   	 49.13   	 24.17   	 172.94		
138.85   	 55.85   	 24.86   	 147.51		
144.65   	 63.17   	 25.45   	 101.73		
151.98   	 70.80   	 25.86   	  66.12		
159.61   	 77.82   	 26.12   	   5.09		
168.15   	 84.23   	 26.14   	 -50.86		
176.39   	 90.03   	 25.94   	 -55.95		
184.63   	 95.52   	 25.72   	  -5.09		
192.57   	101.01   	 25.70   	  40.69		
200.50   	106.51   	 25.86   	  71.21		
207.82   	111.08   	 26.14   	  81.38		
214.54   	114.75   	 26.47   	  40.69		
220.95   	117.19   	 26.63   	   0.00		
227.05   	119.93   	 26.63   	  -5.09		
233.15   	122.38   	 26.61   	  -5.09		
240.17   	124.82   	 26.59   	  -5.09		
248.11   	126.34   	 26.57   	   0.00		
256.04   	127.26   	 26.57   	  15.26		
263.67   	128.17   	 26.63   	 -10.17		
270.69   	131.23   	 26.59   	 -40.69		
267.64   	131.23   	 26.43   	 -25.43		
258.48   	126.95   	 26.33   	 -25.43		
242.31   	117.80   	 26.23   	 -15.26		
220.64   	103.15   	 26.16   	  20.35		
195.62   	 85.45   	 26.25   	  50.86		
170.59   	 68.05   	 26.45   	  86.47		
148.32   	 53.41   	 26.80   	 111.90		
129.39   	 42.72   	 27.24   	 122.07		
113.83   	 35.71   	 27.73   	 152.59		
100.10   	 30.82   	 28.34   	 147.51		
 87.28   	 26.86   	 28.93   	 111.90		
 75.38   	 23.19   	 29.38   	  81.38		
 64.09   	 19.53   	 29.70   	  66.12		
 54.32   	 16.78   	 29.97   	  81.38		
 45.17   	 14.65   	 30.29   	  61.04		
 36.93   	 12.82   	 30.54   	  25.43		
 28.99   	 10.99   	 30.64   	  15.26		
 22.28   	  9.16   	 30.70   	   0.00		
 17.09   	  7.32   	 30.70   	   5.09		
 12.82   	  5.80   	 30.72   	 -30.52		
  9.77   	  4.58   	 30.60   	-116.99		
  7.32   	  3.36   	 30.13   	-244.15		
  5.49   	  1.53   	 29.16   	-412.00		
  5.19   	  0.31   	 27.51   	-595.11		
  6.10   	  0.31   	 25.13   	-768.05		
  7.63   	  2.44   	 22.05   	-839.26		
  9.46   	  7.63   	 18.70   	-859.61		
 11.29   	 16.78   	 15.26   	-839.26		
 14.04   	 30.21   	 11.90   	-727.36		
 18.31   	 47.30   	  8.99   	-610.37		
 24.41   	 66.53   	  6.55   	-513.73		
 30.82   	 84.53   	  4.50   	-396.74		
 36.93   	 95.52   	  2.91   	-284.84		
 41.20   	 96.74   	  1.77   	-183.11		
 43.33   	 87.89   	  1.04   	 -96.64		
 44.25   	 74.16   	  0.65   	 -30.52		
 44.56   	 61.95   	  0.53   	  35.61		
 44.25   	 53.10   	  0.67   	  40.69		
 40.59   	 44.86   	  0.83   	  35.61		
 32.04   	 30.82   	  0.98   	 -20.35		
 18.62   	  9.16   	  0.90   	 -40.69		
  4.27   	-14.34   	  0.73   	  20.35		
 -6.71   	-32.04   	  0.81   	  66.12		
-11.60   	-39.67   	  1.08   	  71.21		
-12.51   	-39.06   	  1.36   	  76.30		
-12.51   	-37.54   	  1.67   	 106.82		
-14.34   	-39.98   	  2.10   	  86.47		
-18.31   	-47.30   	  2.44   	  55.95		
-22.58   	-56.15   	  2.67   	  40.69		
-25.33   	-63.17   	  2.83   	  15.26		
-26.86   	-66.22   	  2.89   	   0.00		
-27.47   	-67.14   	  2.89   	  10.17		
-27.47   	-68.66   	  2.93   	  10.17		
-23.19   	-73.24   	  2.97   	  -5.09		
-10.99   	-76.90   	  2.95   	  -5.09		
 10.68   	-67.14   	  2.93   	  10.17		
 39.37   	-27.47   	  2.97   	   0.00		
 68.66   	 56.76   	  2.97   	  -5.09		
 85.75   	190.73   	  2.95   	  -5.09		
 75.68   	354.31   	  2.93   	   0.00		
 24.11   	501.40   	  2.93   	  15.26		
-209.35   	545.35(R)	  2.99   	   0.00		
-341.19   	409.55   	  2.99   	  35.61		
-430.91   	214.84   	  3.13   	  61.04		
-453.49   	 17.09   	  3.38   	  35.61		
-415.04   	-142.82   	  3.52   	  20.35		
-347.60   	-249.94   	  3.60   	  15.26		
-284.73   	-304.57   	  3.66   	  10.17		
-241.70   	-308.23   	  3.70   	  25.43		
-211.18   	-267.03   	  3.80   	  20.35		
-178.83   	-200.81   	  3.89   	  15.26		
-137.02   	-138.85   	  3.95   	  25.43		
-90.03   	-104.06   	  4.05   	  35.61		
-48.83   	-99.18   	  4.19   	   5.09		
-20.45   	-108.64   	  4.21   	  20.35		
 -4.88   	-113.22   	  4.29   	  81.38		
  2.44   	-105.29   	  4.62   	 106.82		
  6.71   	-90.33   	  5.05   	  91.56		
 10.38   	-76.90   	  5.41   	 101.73		
 13.43   	-69.27   	  5.82   	 116.99		
 15.56   	-66.83   	  6.29   	 101.73		
 17.40   	-65.92   	  6.69   	 162.77		
 19.23   	-64.09   	  7.34   	 371.31		
 21.36   	-60.12   	  8.83   	 447.61		
 23.80   	-54.63   	 10.62   	 371.31		
 26.55   	-48.83   	 12.11   	 890.13		
 32.65   	-38.45   	 15.67   	 447.61		
 35.71   	-33.57   	 17.46   	 412.00		
 39.06   	-29.30   	 19.10   	 356.05		
 43.03   	-25.63   	 20.53   	 310.27		
 47.91   	-22.58   	 21.77   	 284.84		
 54.32   	-18.92   	 22.91   	 239.06		
 61.65   	-14.04   	 23.87   	 198.37		
 68.66   	 -7.32   	 24.66   	 178.03		
 74.46   	  0.61   	 25.37   	 162.77		
 78.74   	  8.24   	 26.02   	 132.25		
 83.31   	 14.65   	 26.55   	  81.38		
 89.72   	 20.75   	 26.88   	  45.78		
 98.27   	 26.55   	 27.06   	   5.09		
108.34   	 32.65   	 27.08   	 -10.17		
118.10   	 39.37   	 27.04   	 -25.43		
126.95   	 46.08   	 26.94   	 -25.43		
134.89   	 52.80   	 26.84   	 -35.61		
142.52   	 58.59   	 26.69   	 -50.86		
150.45   	 62.87   	 26.49   	 -35.61		
158.08   	 65.31   	 26.35   	 -35.61		
165.41   	 66.53   	 26.21   	 -20.35		
173.03   	 67.75   	 26.12   	   0.00		
180.97   	 69.27   	 26.12   	   0.00		
189.51   	 71.72   	 26.12   	   0.00		
198.36   	 74.16   	 26.12   	 -10.17		
211.49   	 77.51   	 26.08   	 -15.26		
210.88   	 76.90   	 26.02   	 -30.52		
202.64   	 73.24   	 25.90   	 -30.52		
186.16   	 65.61   	 25.78   	 -10.17		
163.27   	 53.71   	 25.74   	 -15.26		
137.63   	 38.15   	 25.68   	 -30.52		
112.61   	 21.36   	 25.55   	 -20.35		
 90.03   	  6.71   	 25.47   	  10.17		
 68.97   	 -4.88   	 25.51   	  35.61		
 47.30   	-12.51   	 25.66   	  66.12		
 24.41   	-17.70   	 25.92   	 101.73		
  1.53   	-21.97   	 26.33   	 111.90		
-18.62   	-26.25   	 26.78   	 122.07		
-34.18   	-30.52   	 27.26   	  96.64		
-44.25   	-34.18   	 27.65   	  45.78		
-51.57   	-37.23   	 27.83   	  50.86		
-58.59   	-39.37   	 28.04   	  61.04		
-67.14   	-41.20   	 28.28   	  50.86		
-75.99   	-42.42   	 28.48   	  45.78		
-83.31   	-43.03   	 28.67   	  10.17		
-88.20   	-43.03   	 28.71   	 -45.78		
-90.64   	-43.33   	 28.52   	-142.42		
-93.08   	-45.17   	 27.96   	-330.62		
-95.21   	-48.52   	 26.63   	-528.99		
-97.66   	-52.19   	 24.52   	-645.98		
-99.18   	-54.93   	 21.93   	-686.67		
-100.10   	-55.54   	 19.19   	-737.54		
-100.71   	-54.02   	 16.24   	-778.23		
-101.32   	-51.57   	 13.12   	-717.19		
-100.71   	-47.91   	 10.25   	-640.89		
-97.05   	-42.72   	  7.69   	-574.77		
-90.03   	-34.48   	  5.39   	-457.78		
-80.87   	-23.19   	  3.56   	-335.71		
-71.11   	-10.99   	  2.22   	-228.89		
-62.26   	 -0.92   	  1.30   	-132.25		
-56.15   	  5.49   	  0.77   	 -55.95		
-52.19   	  7.63   	  0.55   	 -15.26		
-50.05   	  7.32   	  0.49   	   5.09		
-49.74   	  4.27   	  0.51   	   0.00		
-52.19   	 -4.27   	  0.51   	  -5.09		
-59.20   	-20.14   	  0.49   	   5.09		
-70.19   	-43.03   	  0.51   	  25.43		
-82.70   	-66.53   	  0.61   	  30.52		
-93.08   	-83.62   	  0.73   	  35.61		
-97.96   	-90.03   	  0.87   	  20.35		
-96.74   	-88.50   	  0.96   	  15.26		
-93.08   	-84.23   	  1.02   	  50.86		
-90.03   	-80.26   	  1.22   	  66.12		
-89.72   	-75.38   	  1.49   	  55.95		
-91.55   	-66.83   	  1.71   	  71.21		
-94.30   	-55.24   	  1.99   	  76.30		
-95.52   	-45.78   	  2.30   	  50.86		
-95.21   	-45.78   	  2.50   	  15.26		
-93.38   	-60.42   	  2.56   	 -10.17		
-88.50   	-85.75   	  2.52   	 -40.69		
-77.82   	-109.56   	  2.36   	 -55.95		
-60.12   	-112.00   	  2.14   	 -45.78		
-34.79   	-75.38   	  1.95   	 -15.26		
 -7.02   	 13.43   	  1.89   	  20.35		
 10.99   	153.20   	  1.97   	   5.09		
  2.44   	319.21   	  1.99   	 -15.26		
-48.83   	462.95   	  1.93   	  -5.09		
-287.17   	486.76(R)	  1.91   	   5.09		
-420.53   	340.88   	  1.93   	  10.17		
-508.42   	139.47   	  1.97   	  20.35		
