SAMPLE NUMBER:   2
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec
ECG UNITS:       uV
ECG RESOLUTION:  0.3051758 uV/unit

------------------------- Begin Data -------------------------
  I     	  II     	  FA     	  FA'		  RV     	  RV'		
-81.18   	-111.08   	 34.53   	  10.17		  4.64   	  35.61		
-77.21   	-111.69   	 34.57   	 -55.95		  4.78   	  25.43		
-73.85   	-109.56   	 34.34   	 -81.38		  4.88   	  15.26		
-72.02   	-106.51   	 34.02   	 -61.04		  4.94   	 -10.17		
-71.72   	-113.83   	 33.77   	 -30.52		  4.90   	 -45.78		
-67.14   	-154.11   	 33.65   	 -10.17		  4.72   	 -40.69		
-38.76   	-245.97   	 33.61   	 -20.35		  4.56   	 -10.17		
 56.76   	-354.92   	 33.53   	 -40.69		  4.52   	  35.61		
261.84   	-356.75   	 33.37   	 -50.86		  4.66   	  81.38		
542.60   	-108.03   	 33.16   	 -66.12		  4.98   	 122.07		
755.00   	422.36   	 32.90   	 -76.30		  5.47   	 193.29		
724.79   	1063.54   	 32.59   	 -96.64		  6.25   	 478.13		
-186.77   	1423.95   	 32.21   	 -20.35		  8.16   	 249.24		
-673.52   	879.21   	 32.13   	 -15.26		  9.16   	 254.32		
-837.10   	163.27   	 32.06   	 -10.17		 10.17   	 213.63		
-643.92   	-343.02   	 32.02   	 -10.17		 11.03   	 172.94		
-276.79   	-449.83   	 31.98   	   0.00		 11.72   	 137.33		
 23.80   	-247.19   	 31.98   	 -10.17		 12.27   	  76.30		
126.65   	 10.38   	 31.94   	 -20.35		 12.57   	  45.78		
 63.48   	121.15   	 31.86   	 -15.26		 12.76   	  25.43		
-40.89   	 63.78   	 31.80   	   0.00		 12.86   	   0.00		
-90.03   	-52.49   	 31.80   	   0.00		 12.86   	 -25.43		
-69.89   	-117.80   	 31.80   	 -20.35		 12.76   	 -40.69		
-22.89   	-104.06   	 31.72   	 -30.52		 12.59   	 -50.86		
  8.54   	-51.57   	 31.60   	 -30.52		 12.39   	 -55.95		
 11.29   	-12.51   	 31.47   	 -30.52		 12.17   	  15.26		
 -3.36   	 -7.02   	 31.35   	 -30.52		 12.23   	 147.51		
-17.09   	-22.89   	 31.23   	 -25.43		 12.82   	 203.46		
-18.31   	-36.01   	 31.13   	 -25.43		 13.63   	 228.89		
 -7.32   	-34.18   	 31.03   	 -35.61		 14.55   	 340.79		
  5.80   	-21.36   	 30.88   	 -30.52		 15.91   	 417.09		
 13.12   	 -7.93   	 30.76   	 -25.43		 17.58   	 386.57		
 14.34   	 -0.92   	 30.66   	 -25.43		 19.13   	 391.66		
 12.82   	 -0.61   	 30.56   	 -35.61		 20.69   	 412.00		
 12.21   	 -2.75   	 30.42   	 -20.35		 22.34   	 366.22		
 13.73   	 -2.75   	 30.34   	 -15.26		 23.80   	 310.27		
 16.78   	  0.61   	 30.27   	 -61.04		 25.05   	 467.95		
 24.11   	 11.90   	 30.03   	 -15.26		 26.92   	 127.16		
 28.99   	 17.70   	 29.97   	  -5.09		 27.43   	  55.95		
 35.10   	 22.89   	 29.95   	   0.00		 27.65   	  10.17		
 40.89   	 27.77   	 29.95   	  30.52		 27.69   	 -30.52		
 45.78   	 32.04   	 30.07   	  81.38		 27.57   	 -71.21		
 48.52   	 35.10   	 30.40   	 147.51		 27.28   	 -81.38		
 50.66   	 38.15   	 30.99   	 228.89		 26.96   	 -76.30		
 53.41   	 42.11   	 31.90   	 315.36		 26.65   	 -76.30		
 57.98   	 48.22   	 33.16   	 391.66		 26.35   	 -61.04		
 64.70   	 56.15   	 34.73   	 457.78		 26.10   	 -40.69		
 71.72   	 64.70   	 36.56   	 503.56		 25.94   	 -10.17		
 77.82   	 72.94   	 38.58   	 549.34		 25.90   	  15.26		
 82.40   	 80.26   	 40.77   	 564.60		 25.96   	  45.78		
 85.75   	 86.67   	 43.03   	 574.77		 26.14   	  71.21		
 88.50   	 92.16   	 45.33   	 574.77		 26.43   	  81.38		
 90.33   	 98.27   	 47.63   	 559.51		 26.75   	  96.64		
 92.16   	104.37   	 49.87   	 528.99		 27.14   	 106.82		
 93.38   	110.78   	 51.98   	 503.56		 27.57   	 111.90		
 94.91   	116.88   	 54.00   	 462.87		 28.02   	  96.64		
 96.44   	121.77   	 55.85   	 422.18		 28.40   	  91.56		
 96.74   	124.21   	 57.54   	 371.31		 28.77   	  81.38		
 95.83   	125.73   	 59.02   	 325.53		 29.09   	  61.04		
 93.99   	127.56   	 60.33   	 274.67		 29.34   	  40.69		
 92.77   	130.31   	 61.42   	 233.98		 29.50   	  35.61		
 93.08   	134.58   	 62.36   	 188.20		 29.64   	  15.26		
 94.60   	139.16   	 63.11   	 152.59		 29.70(S)	 -10.17		
 95.52   	143.13   	 63.72   	 116.99		 29.66   	 -30.52		
 95.21   	146.18   	 64.19   	  96.64		 29.54   	 -40.69		
 93.38   	148.93   	 64.58   	  71.21		 29.38   	 -50.86		
 91.25   	152.28   	 64.86   	  45.78		 29.18   	 -61.04		
 88.81   	156.25   	 65.05   	  25.43		 28.93   	 -55.95		
 85.45   	159.91   	 65.15(S)	 -10.17		 28.71   	 -61.04		
 81.48   	162.66   	 65.11   	 -40.69		 28.46   	 -71.21		
 76.90   	164.79   	 64.94   	 -50.86		 28.18   	 -66.12		
 72.94   	167.24   	 64.74   	 -76.30		 27.91   	 -55.95		
 70.80   	171.81   	 64.44   	-101.73		 27.69   	 -66.12		
 70.19   	178.53   	 64.03   	-106.82		 27.43   	 -66.12		
 70.19   	187.68   	 63.60   	-106.82		 27.16   	 -55.95		
 69.89   	197.75   	 63.17   	-116.99		 26.94   	 -61.04		
 69.27   	207.52   	 62.71   	-132.25		 26.69   	 -61.04		
 68.36   	215.45   	 62.18   	-127.16		 26.45   	 -55.95		
 67.14   	220.03   	 61.67   	-116.99		 26.23   	 -55.95		
 65.31   	217.59   	 61.20   	-116.99		 26.00   	 -61.04		
 61.65   	205.69   	 60.73   	-122.07		 25.76   	 -55.95		
 54.32   	182.50   	 60.24   	-122.07		 25.53   	 -55.95		
 43.33   	148.32   	 59.76   	-116.99		 25.31   	 -55.95		
 29.60   	107.42   	 59.29   	-116.99		 25.09   	 -55.95		
 14.04   	 64.70   	 58.82   	-122.07		 24.86   	 -61.04		
 -0.92   	 25.63   	 58.33   	-132.25		 24.62   	 -61.04		
-14.34   	 -7.02   	 57.80   	-127.16		 24.37   	 -71.21		
-25.94   	-32.96   	 57.29   	-116.99		 24.09   	 -71.21		
-36.01   	-53.10   	 56.83   	-122.07		 23.80   	 -86.47		
-44.56   	-69.27   	 56.34   	-127.16		 23.46   	 -96.64		
-52.19   	-82.40   	 55.83   	-116.99		 23.07   	 -96.64		
-58.29   	-92.47   	 55.36   	-101.73		 22.69   	-101.73		
-62.26   	-99.49   	 54.95   	-106.82		 22.28   	-101.73		
-64.70   	-103.76   	 54.53   	-106.82		 21.87   	-101.73		
-65.92   	-106.81   	 54.10   	-111.90		 21.46   	-101.73		
-66.53   	-108.64   	 53.65   	-106.82		 21.06   	-116.99		
-66.53   	-110.17   	 53.22   	 -96.64		 20.59   	-132.25		
-66.22   	-111.69   	 52.84   	-101.73		 20.06   	-147.51		
-65.31   	-112.61   	 52.43   	-106.82		 19.47   	-178.03		
-64.70   	-113.22   	 52.00   	-101.73		 18.76   	-213.63		
-64.70   	-113.53   	 51.60   	 -96.64		 17.90   	-228.89		
-65.00   	-113.22   	 51.21   	 -96.64		 16.99   	-244.15		
-64.70   	-112.00   	 50.82   	-111.90		 16.01   	-310.27		
-64.09   	-110.47   	 50.38   	-122.07		 14.77   	-356.05		
-62.87   	-108.95   	 49.89   	-137.33		 13.35   	-340.79		
-61.95   	-108.34   	 49.34   	-157.68		 11.98   	-356.05		
-62.26   	-108.64   	 48.71   	-162.77		 10.56   	-391.66		
-63.17   	-108.95   	 48.06   	-183.11		  8.99   	-371.31		
