SAMPLE NUMBER:   3
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec
ECG UNITS:       uV
ECG RESOLUTION:  0.3051758 uV/unit

------------------------- Begin Data -------------------------
  I     	  II     	  RV     	  RV'		  AO     	  AO'		
 15.26   	-44.56   	 31.19   	  35.61		 69.01   	  25.43		
 24.72   	-36.93   	 31.33   	 -20.35		 69.11   	  61.04		
 32.96   	-29.30   	 31.25   	  -5.09		 69.36   	  91.56		
 39.37   	-24.11   	 31.23   	 -71.21		 69.73   	 127.16		
 44.86   	-21.06   	 30.95   	-132.25		 70.23   	 188.20		
 50.66   	-20.14   	 30.42   	 -30.52		 70.99   	 300.10		
 55.54   	-19.53   	 30.29   	-132.25		 72.19   	 518.82		
 57.68   	-18.31   	 29.77   	 -15.26		 74.26   	 849.44		
 57.07   	-16.17   	 29.70   	  71.21		 77.66   	1195.32		
 55.54   	-14.04   	 29.99   	  25.43		 82.44   	1378.43		
 56.15   	-11.29   	 30.09   	 106.82		 87.95   	1271.61		
 59.81   	 -7.02   	 30.52   	  30.52		 93.04   	 976.60		
 66.22   	  0.00   	 30.64   	  81.38		 96.95   	 661.24		
 73.85   	 10.07   	 30.97   	 -10.17		 99.59   	 376.40		
 81.18   	 21.67   	 30.93   	 -66.12		101.10   	 127.16		
 86.67   	 32.65   	 30.66   	 -50.86		101.61   	 -76.30		
 90.03   	 41.20   	 30.46   	-157.68		101.30   	-183.11		
 92.16   	 48.52   	 29.83   	-167.85		100.57   	-167.85		
 93.99   	 55.85   	 29.16   	-203.46		 99.90   	 -35.61		
 97.35   	 64.70   	 28.34   	-142.42		 99.76   	 172.94		
102.23   	 74.16   	 27.77   	-172.94		100.45   	 376.40		
104.98   	 80.57   	 27.08   	-106.82		101.95   	 569.68		
102.23   	 82.09   	 26.65   	 -61.04		104.23   	 737.54		
 93.08   	 77.82   	 26.41   	 -71.21		107.18   	 854.52		
 79.96   	 69.89   	 26.12   	  30.52		110.60   	 885.04		
 68.66   	 60.42   	 26.25   	  -5.09		114.14   	 818.92		
 61.04   	 51.27   	 26.23   	  25.43		117.42   	 676.50		
 56.46   	 42.72   	 26.33   	 -30.52		120.12   	 488.30		
 50.96   	 32.65   	 26.21   	   5.09		122.07   	 264.50		
 42.72   	 19.53   	 26.23   	   0.00		123.13   	  55.95		
 31.13   	  3.36   	 26.23   	 -35.61		123.36(S)	-132.25		
 18.62   	-13.73   	 26.08   	 -10.17		122.83   	-254.32		
  8.54   	-28.38   	 26.04   	 -91.56		121.81   	-315.36		
  2.75   	-38.76   	 25.68   	-127.16		120.55   	-325.53		
  1.22   	-44.86   	 25.17   	-137.33		119.25   	-284.84		
  2.14   	-49.74   	 24.62   	  15.26		118.11   	-208.54		
  1.83   	-55.85   	 24.68   	  30.52		117.27   	-127.16		
 -0.92   	-62.87   	 24.80   	-111.90		116.76   	 -55.95		
 -4.88   	-69.27   	 24.35   	-101.73		116.54   	   0.00		
 -7.93   	-73.24   	 23.95   	-233.98		116.54   	  15.26		
-10.07   	-75.07   	 23.01   	-376.40		116.60   	 -10.17		
-14.34   	-76.60   	 21.51   	-366.22		116.56   	 -61.04		
-21.97   	-79.04   	 20.04   	-401.83		116.32   	-132.25		
-29.91   	-81.48   	 18.43   	-315.36		115.79   	-218.72		
-33.26   	-81.48   	 17.17   	-218.72		114.91   	-295.01		
-29.60   	-78.13   	 16.30   	-142.42		113.73   	-366.22		
-22.89   	-73.85   	 15.73   	-111.90		112.27   	-417.09		
-19.53   	-72.63   	 15.28   	-132.25		110.60   	-442.52		
-21.97   	-74.77   	 14.75   	 -76.30		108.83   	-452.69		
-26.86   	-77.51   	 14.45   	-111.90		107.02   	-432.35		
-28.38   	-78.13   	 14.00   	 -91.56		105.29   	-412.00		
-25.02   	-74.77   	 13.63   	-106.82		103.64   	-376.40		
-21.06   	-70.50   	 13.20   	-233.98		102.14   	-340.79		
-21.36   	-68.05   	 12.27   	-264.50		100.77   	-320.45		
-25.33   	-68.05   	 11.21   	-315.36		 99.49   	-305.19		
-28.69   	-68.66   	  9.95   	-315.36		 98.27   	-300.10		
-27.47   	-68.36   	  8.69   	-391.66		 97.07   	-295.01		
-21.67   	-67.44   	  7.12   	-361.14		 95.89   	-310.27		
-16.78   	-68.66   	  5.68   	-178.03		 94.65   	-310.27		
-17.09   	-73.24   	  4.96   	-178.03		 93.41   	-320.45		
-24.11   	-80.26   	  4.25   	-116.99		 92.13   	-330.62		
-34.48   	-86.06   	  3.78   	 -81.38		 90.80   	-325.53		
-41.50   	-86.67   	  3.46   	 -30.52		 89.50   	-305.19		
-41.20   	-79.96   	  3.34   	  10.17		 88.28   	-254.32		
-33.57   	-68.05   	  3.38   	 -50.86		 87.26   	-183.11		
-22.28   	-53.41   	  3.17   	 -86.47		 86.53   	-106.82		
-11.29   	-37.54   	  2.83   	-152.59		 86.10   	 -55.95		
 -2.75   	-18.01   	  2.22   	   5.09		 85.88   	 -30.52		
  4.88   	  7.93   	  2.24   	  15.26		 85.76   	 -40.69		
 15.87   	 40.28   	  2.30   	  20.35		 85.59   	 -66.12		
 30.52   	 74.46   	  2.38   	 137.33		 85.33   	-106.82		
 45.47   	101.32   	  2.93   	 122.07		 84.90   	-152.59		
 57.07   	113.22   	  3.42   	 183.11		 84.29   	-193.29		
 61.65   	108.64   	  4.15   	 132.25		 83.52   	-213.63		
 59.51   	 93.38   	  4.68   	 127.16		 82.66   	-228.89		
 54.63   	 74.77   	  5.19   	  55.95		 81.75   	-233.98		
 49.74   	 58.29   	  5.41   	 -15.26		 80.81   	-208.54		
 44.25   	 42.72   	  5.35   	 -20.35		 79.98   	-167.85		
 36.01   	 24.72   	  5.27   	-106.82		 79.31   	-132.25		
 23.19   	  1.83   	  4.84   	 -86.47		 78.78   	 -96.64		
  7.32   	-22.89   	  4.50   	-132.25		 78.39   	 -66.12		
 -8.24   	-43.03   	  3.97   	 -66.12		 78.13   	 -35.61		
-19.53   	-54.93   	  3.70   	 -61.04		 77.99   	 -10.17		
-27.16   	-62.87   	  3.46   	  30.52		 77.94   	   5.09		
-32.96   	-72.33   	  3.58   	  55.95		 77.97   	   0.00		
-39.37   	-86.98   	  3.80   	  86.47		 77.97   	  -5.09		
-46.69   	-104.68   	  4.15   	  76.30		 77.94   	 -20.35		
-52.80   	-120.24   	  4.46   	  50.86		 77.86   	 -35.61		
-56.46   	-128.17   	  4.66   	  66.12		 77.72   	 -61.04		
-57.37   	-129.70   	  4.92   	  10.17		 77.48   	 -76.30		
-56.46   	-126.95   	  4.96   	  20.35		 77.17   	 -86.47		
-54.02   	-123.90   	  5.05   	 -40.69		 76.83   	 -86.47		
-52.49   	-122.38   	  4.88   	  20.35		 76.48   	 -86.47		
-53.10   	-122.99   	  4.96   	 -40.69		 76.13   	 -71.21		
-56.76   	-124.21   	  4.80   	 -35.61		 75.85   	 -66.12		
-62.56   	-124.82   	  4.66   	 -61.04		 75.58   	 -50.86		
-68.36   	-124.21   	  4.42   	 -50.86		 75.38   	 -35.61		
-70.50   	-122.68   	  4.21   	 -50.86		 75.24   	 -35.61		
-68.97   	-121.46   	  4.01   	 -81.38		 75.10   	 -20.35		
-65.92   	-121.46   	  3.68   	  -5.09		 75.01   	 -30.52		
-62.26   	-122.07   	  3.66   	 -10.17		 74.89   	 -20.35		
-59.20   	-122.07   	  3.62   	  66.12		 74.81   	 -20.35		
-57.07   	-121.46   	  3.89   	   0.00		 74.73   	 -30.52		
-54.63   	-121.46   	  3.89   	  35.61		 74.61   	 -30.52		
-48.52   	-123.90   	  4.03   	  61.04		 74.49   	 -40.69		
-38.45   	-129.70   	  4.27   	  55.95		 74.32   	 -50.86		
-23.19   	-133.67   	  4.50   	  96.64		 74.12   	 -45.78		
