SAMPLE NUMBER:   4
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec
ECG UNITS:       uV
ECG RESOLUTION:  0.3051758 uV/unit

------------------------- Begin Data -------------------------
  I     	  II     	  AO     	  AO'		  RV     	  RV'		
 -9.16   	-124.21   	 62.62   	 -15.26		  5.72   	  55.95		
 -9.46   	-124.82   	 62.56   	 -10.17		  5.94   	  40.69		
-11.60   	-126.95   	 62.52   	 -10.17		  6.10   	  25.43		
-15.56   	-130.62   	 62.48   	 -15.26		  6.21   	  10.17		
-20.45   	-134.28   	 62.42   	 -25.43		  6.25   	  -5.09		
-25.33   	-136.72   	 62.32   	 -35.61		  6.23   	 -15.26		
-28.99   	-137.63   	 62.18   	 -40.69		  6.16   	 -30.52		
-31.43   	-137.94   	 62.01   	 -45.78		  6.04   	 -30.52		
-33.57   	-138.55   	 61.83   	 -50.86		  5.92   	 -40.69		
-35.40   	-140.38   	 61.63   	 -40.69		  5.76   	 -35.61		
-36.93   	-142.82   	 61.46   	 -40.69		  5.62   	 -35.61		
-38.76   	-145.57   	 61.30   	 -35.61		  5.47   	 -35.61		
-41.20   	-147.71   	 61.16   	 -25.43		  5.33   	 -30.52		
-44.86   	-149.54   	 61.06   	 -15.26		  5.21   	 -20.35		
-49.13   	-151.37   	 61.00   	 -15.26		  5.13   	 -15.26		
-53.41   	-153.50   	 60.94   	 -15.26		  5.07   	  -5.09		
-56.76   	-155.33   	 60.87   	  -5.09		  5.05   	   0.00		
-59.20   	-156.86   	 60.85   	 -15.26		  5.05   	  10.17		
-61.95   	-158.08   	 60.79   	 -15.26		  5.09   	  20.35		
-65.00   	-159.00   	 60.73   	 -15.26		  5.17   	  20.35		
-66.83   	-160.22   	 60.67   	 -20.35		  5.25   	  30.52		
-66.83   	-161.44   	 60.59   	 -25.43		  5.37   	  35.61		
-64.70   	-161.74   	 60.49   	 -20.35		  5.51   	  40.69		
-61.04   	-160.52   	 60.41   	 -20.35		  5.68   	  45.78		
-57.98   	-157.17   	 60.33   	 -15.26		  5.86   	  40.69		
