SAMPLE NUMBER:   3
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec
ECG UNITS:       uV
ECG RESOLUTION:  0.3051758 uV/unit

------------------------- Begin Data -------------------------
  I     	  II     	  RV     	  RV'		  AO     	  AO'		
 10.68   	-41.81   	 28.42   	 315.36		 44.58   	 -30.52		
 12.21   	-37.84   	 29.68   	 249.24		 44.46   	 -20.35		
 14.95   	-32.65   	 30.68   	 198.37		 44.37   	 -25.43		
 18.01   	-26.55   	 31.47   	 157.68		 44.27   	 -25.43		
 21.36   	-19.84   	 32.11   	 122.07		 44.17   	 -35.61		
 24.72   	-13.12   	 32.59   	  86.47		 44.03   	 -35.61		
 27.77   	 -6.41   	 32.94   	  61.04		 43.89   	 -30.52		
 30.52   	  0.61   	 33.18   	  50.86		 43.76   	 -35.61		
 32.96   	  7.63   	 33.39   	  35.61		 43.62   	 -30.52		
 35.71   	 14.65   	 33.53   	  30.52		 43.50   	 -35.61		
 38.45   	 20.75   	 33.65   	  35.61		 43.36   	 -35.61		
 41.20   	 26.55   	 33.79   	  40.69		 43.21   	 -30.52		
 43.95   	 31.74   	 33.96   	  40.69		 43.09   	 -30.52		
 47.00   	 36.93   	 34.12   	  45.78		 42.97   	 -30.52		
 50.66   	 43.64   	 34.30   	  45.78		 42.85   	 -30.52		
 54.63   	 51.57   	 34.49   	  55.95		 42.73   	 -25.43		
 58.90   	 60.73   	 34.71   	  66.12		 42.62   	 -15.26		
 62.87   	 70.19   	 34.97   	  61.04		 42.56   	   0.00		
 66.53   	 78.74   	 35.22   	  50.86		 42.56   	  25.43		
 69.27   	 86.36   	 35.42   	  45.78		 42.67   	  66.12		
 72.02   	 93.69   	 35.61   	  35.61		 42.93   	 127.16		
 75.38   	101.01   	 35.75   	  30.52		 43.44   	 223.80		
 79.04   	108.64   	 35.87   	  10.17		 44.33   	 493.39		
 86.06   	124.21   	 35.91   	   5.09		 46.31   	 564.60		
 88.81   	130.92   	 35.93   	  -5.09		 48.57   	 595.11		
 91.86   	137.02   	 35.91   	 -10.17		 50.95   	 564.60		
 96.13   	143.43   	 35.87   	 -15.26		 53.20   	 503.56		
102.23   	151.37   	 35.81   	 -20.35		 55.22   	 427.26		
109.86   	161.44   	 35.73   	 -20.35		 56.93   	 356.05		
118.71   	173.03   	 35.65   	 -20.35		 58.35   	 300.10		
126.95   	184.33   	 35.56   	 -20.35		 59.55   	 289.93		
133.97   	194.70   	 35.48   	 -15.26		 60.71   	 305.19		
139.77   	203.55   	 35.42   	 -20.35		 61.93   	 340.79		
144.35   	211.79   	 35.34   	 -15.26		 63.30   	 371.31		
148.93   	220.34   	 35.28   	 -15.26		 64.78   	 401.83		
153.81   	229.19   	 35.22   	 -15.26		 66.39   	 406.92		
158.39   	237.73   	 35.16   	   0.00		 68.02   	 396.74		
162.35   	244.75   	 35.16   	  20.35		 69.60   	 371.31		
165.10   	249.33   	 35.24   	  55.95		 71.09   	 345.88		
167.24   	252.38   	 35.46   	  76.30		 72.47   	 320.45		
169.37   	255.13   	 35.77   	  81.38		 73.75   	 300.10		
171.81   	257.57   	 36.09   	  81.38		 74.95   	 289.93		
173.34   	258.79   	 36.42   	  76.30		 76.11   	 279.75		
172.42   	255.74   	 36.72   	  81.38		 77.23   	 269.58		
167.54   	245.06   	 37.05   	  81.38		 78.31   	 264.50		
157.78   	224.30   	 37.38   	  91.56		 79.37   	 244.15		
144.04   	193.18   	 37.74   	  91.56		 80.35   	 208.54		
127.26   	155.03   	 38.11   	 101.73		 81.18   	 157.68		
 93.08   	 74.46   	 38.51   	 101.73		 81.81   	 157.68		
 77.51   	 37.84   	 38.92   	  96.64		 82.44   	 167.85		
 62.87   	  5.49   	 39.31   	  96.64		 83.11   	 162.77		
 50.05   	-23.19   	 39.69   	  91.56		 83.76   	 142.42		
 38.45   	-48.22   	 40.06   	  91.56		 84.33   	 127.16		
 28.69   	-69.27   	 40.43   	  91.56		 84.84   	  86.47		
 20.75   	-85.75   	 40.79   	  86.47		 85.19   	  35.61		
 14.95   	-97.66   	 41.14   	  86.47		 85.33(S)	  -5.09		
 10.99   	-106.51   	 41.49   	  76.30		 85.31   	 -30.52		
  8.24   	-112.61   	 41.79   	  76.30		 85.19   	 -20.35		
  6.71   	-117.19   	 42.10   	  66.12		 85.11   	  -5.09		
  6.10   	-120.24   	 42.36   	  61.04		 85.09   	  -5.09		
  6.41   	-121.15   	 42.60   	  61.04		 85.07   	 -15.26		
  7.32   	-119.93   	 42.85   	  50.86		 85.00   	 -35.61		
  8.24   	-117.19   	 43.05   	  50.86		 84.86   	 -55.95		
  9.46   	-113.83   	 43.26   	  30.52		 84.64   	 -86.47		
  9.77   	-111.08   	 43.38   	  10.17		 84.29   	-101.73		
  9.77   	-110.17   	 43.42   	 -40.69		 83.89   	-106.82		
  9.46   	-110.78   	 43.26   	-127.16		 83.46   	-111.90		
