SAMPLE NUMBER:   2
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec
ECG UNITS:       uV
ECG RESOLUTION:  0.3051758 uV/unit

------------------------- Begin Data -------------------------
  I     	  II     	  RV     	  RV'		  AO     	  AO'		
101.01   	111.08   	 37.05   	  35.61		 51.96   	 -30.52		
102.54   	121.15   	 37.19   	  20.35		 51.84   	 -20.35		
105.59   	132.45   	 37.27   	  10.17		 51.76   	 -10.17		
109.56   	144.35   	 37.31   	  15.26		 51.72   	 -25.43		
114.14   	156.56   	 37.38   	  20.35		 51.62   	  -5.09		
118.71   	169.68   	 37.46   	  45.78		 51.60   	  10.17		
124.21   	184.02   	 37.64   	  61.04		 51.64   	  10.17		
129.70   	200.50   	 37.88   	  71.21		 51.68   	  25.43		
135.19   	218.81   	 38.17   	  71.21		 51.78   	  40.69		
140.38   	239.56   	 38.45   	  81.38		 51.94   	  50.86		
145.87   	263.06   	 38.78   	  81.38		 52.15   	  61.04		
152.89   	289.61   	 39.10   	  76.30		 52.39   	 101.73		
161.44   	318.91   	 39.41   	  81.38		 52.80   	 157.68		
170.59   	350.65   	 39.74   	  71.21		 53.43   	 244.15		
180.05   	383.91   	 40.02   	  66.12		 54.40   	 401.83		
188.29   	419.01   	 40.28   	  61.04		 56.01   	 569.68		
196.23   	456.54   	 40.53   	  61.04		 58.29   	 686.67		
203.55   	495.91   	 40.77   	  66.12		 61.04   	 717.19		
210.27   	537.11   	 41.04   	  71.21		 63.91   	 625.63		
216.37   	578.61   	 41.32   	  76.30		 66.41   	 467.95		
221.86   	619.20   	 41.63   	  76.30		 68.28   	 284.84		
226.44   	658.87   	 41.93   	  81.38		 69.42   	 142.42		
230.10   	696.41   	 42.26   	  81.38		 69.99   	  61.04		
232.24   	730.59   	 42.58   	  81.38		 70.23   	  61.04		
232.54   	758.97   	 42.91   	  86.47		 70.48   	 122.07		
229.49   	779.11   	 43.26   	  91.56		 70.97   	 218.72		
223.39   	789.18   	 43.62   	  91.56		 71.84   	 310.27		
214.23   	786.74   	 43.99   	  81.38		 73.08   	 350.97		
202.64   	770.57   	 44.31   	  76.30		 74.49   	 340.79		
189.21   	740.66   	 44.62   	  71.21		 75.85   	 320.45		
173.95   	697.33   	 44.90   	  66.12		 77.13   	 264.50		
157.78   	642.09   	 45.17   	  61.04		 78.19   	 218.72		
140.99   	577.09   	 45.41   	  61.04		 79.06   	 213.63		
124.21   	505.07   	 45.66   	  61.04		 79.92   	 203.46		
107.42   	428.47   	 45.90   	  55.95		 80.73   	 198.37		
 89.42   	349.73   	 46.12   	  55.95		 81.53   	 203.46		
 71.11   	272.22   	 46.35   	  55.95		 82.34   	 193.29		
 54.02   	199.28   	 46.57   	  50.86		 83.11   	 198.37		
 40.28   	133.36   	 46.77   	  50.86		 83.91   	 172.94		
 30.52   	 75.07   	 46.98   	  40.69		 84.60   	 127.16		
 23.19   	 24.11   	 47.14   	  35.61		 85.11   	 122.07		
 16.48   	-21.36   	 47.28   	  20.35		 85.59   	 122.07		
  9.16   	-61.34   	 47.37   	   5.09		 86.08   	  96.64		
  1.22   	-95.83   	 47.39   	  -5.09		 86.47   	  86.47		
 -5.80   	-124.82   	 47.37   	 -10.17		 86.82   	 106.82		
-10.99   	-148.62   	 47.32   	 -10.17		 87.24   	  96.64		
-14.65   	-167.54   	 47.28   	 -15.26		 87.63   	  86.47		
-17.40   	-183.41   	 47.22   	 -20.35		 87.98   	  81.38		
-20.14   	-196.84   	 47.14   	 -25.43		 88.30   	  66.12		
-22.89   	-207.82   	 47.04   	 -30.52		 88.57   	  76.30		
-25.94   	-216.37   	 46.92   	 -40.69		 88.87   	  86.47		
-28.38   	-222.78   	 46.75   	 -45.78		 89.22   	  71.21		
-30.52   	-227.05   	 46.57   	 -61.04		 89.50   	  50.86		
-31.74   	-230.10   	 46.33   	 -71.21		 89.70   	  76.30		
-32.65   	-232.54   	 46.04   	 -81.38		 90.01   	  66.12		
-32.96   	-234.07   	 45.72   	 -96.64		 90.27   	  45.78		
